id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador
25,bopa,"Resolución de 3 de febrero de 2025, de la Consejería de Transición Ecológica, Industria y Desarrollo Económico, por la que se formula el informe ambiental estratégico de nueva delimitación y Plan Parcial del Área de Planeamiento Propuesto S-R-CBÑ 2 “Cabueñes Residencial” (APP-S-R-CBÑ2) (Gijón) (IA-PP-0141/2024//AUTO/2024/12984). [Cód. 2025-00970]",PLAN_ESP,,,,
26,bon,Aprobación definitiva del Plan Especial de Actuación Urbana de las unidades UE-9 y UE-10,PLAN_ESP,,,,
27,bocyl,"INFORMACIÓN pública relativa a la aprobación inicial del estudio de detalle, promovido por «Decoración Muebles Cagigal, S.A.», para la modificación de los parámetros de ordenación detallada de la parcela del Callejón Los Tochos n.º 1, en el término municipal de Aguilar de Campoo (Palencia). Expte.: 1373/2024.",PLAN_ESP,,,,
28,bopv,"RESOLUCIÓN de 27 de enero de 2025, del Director de Administración Ambiental, por la que se formula informe ambiental estratégico del Plan Parcial del sector Ipintza Z1.5 de Zumarraga (Gipuzkoa).
				
2025/00772",PLAN_ESP,,,,
29,bopa,"Anuncio público a personas interesadas desconocidas en el procedimiento de evaluación ambiental estratégica simplificada. Plan Parcial del sector urbanizable UZ2-La Vega-U, Villabona (Llanera). Expte. IA-PP-0236/2024//AUTO/2024/18789. [Cód. 2025-01744]",PLAN_ESP,,,,
30,bocyl,"ACUERDO de 20 de diciembre de 2024, del Pleno del Ayuntamiento de Burgos, relativo a la aprobación definitiva del «Estudio de detalle naves nido C/ López Bravo, 11B, polígono industrial. Villalonquejar (Burgos)», promovido por «Santaolalla Ambiental, S.L.». Expte.: 4/2024 EST-PGOU.",PLAN_ESP,,,,
31,borm,"Aprobación inicial del Programa de Actuación, del cambio de sistema de gestión y de los estatutos de la Junta de Compensación de la Unidad de Ejecución n.º I.b del Plan Parcial “Usos Terciarios de Carretera de Sucina”.",PLAN_ESP,,,,
32,dogc,Edicto sobre aprobación inicial del Plan especial urbanístico autónomo de la vía verde del Fluvià de ámbito supramunicipal entre Sant Ferriol y La Vall de Bianya,PLAN_ESP,,,,
33,doe,Anuncio de 29 de enero de 2025 sobre aprobación inicial del Estudio de Detalle de la parcela EEC-1 del SUB CC-9.2.4.,PLAN_ESP,,,,
34,bon,"Aprobación definitiva de Estudio de Detalle en la parcela 2564 del polígono 7/Z-1 U.I. X Landaben, para ampliación de edificio anexo a Mutua Navarra",PLAN_ESP,,,,
35,bocyl,"INFORMACIÓN pública relativa a la aprobación inicial del estudio de detalle para la modificación de la alteración existente en la calle Juan Bravo n.º 25-27, en el término municipal de Cantalejo (Segovia). Expte.: 1422/2024.",PLAN_ESP,,,,
36,bon,Aprobación inicial de Estudio de Detalle en la parcela 218 del polígono 4,PLAN_ESP,,,,
37,bon,Aprobación definitiva de Estudio de Detalle en la parcela 104 del polígono 1,PLAN_ESP,,,,
38,bocyl,"ACUERDO de 18 de noviembre de 2024, del Pleno del Ayuntamiento de Aldearrubia (Salamanca), relativo a la aprobación definitiva del estudio de detalle para el solar de la calle Camino de los Partidos 3C.",PLAN_ESP,,,,
39,bon,Aprobación inicial de Estudio de Detalle en la parcela 33 del polígono 1 de Unciti (Valle de Unciti),PLAN_ESP,,,,
40,bopa,Edicto. Aprobación definitiva del Plan Parcial del ámbito urbanizable Altos de Santo Medero. Expte. 1191-080005. [Cód. 2025-02014],PLAN_ESP,,,,
41,bon,Corrección de errores de la aprobación definitiva de Estudio de Detalle de la parcela 154 del polígono 12 (Unidad U4) de Idocin (Valle de Ibargoiti),PLAN_ESP,,,,
42,bopv,"RESOLUCIÓN de 28 de enero de 2025, del Director de Administración Ambiental, por la que se formula informe ambiental estratégico del Plan Especial Guardería Canina Bi-Lagun en Hondarribia.
				
2025/00886",PLAN_ESP,,,,
43,bon,Aprobación inicial de Estudio de Detalle en la parcela  522 del polígono 1,PLAN_ESP,,,,
44,bon,Aprobación inicial de Estudio de Detalle en las parcelas 570 y 571 del área de reparto AR2,PLAN_ESP,,,,
45,borm,Anuncio de aprobación provisional de cuenta de liquidación definitiva del proyecto de urbanización del Plan Parcial “Cañada de la Morra Norte” de Archena.,PLAN_ESP,,,,
46,borm,"Sometimiento a información pública de la documentación integrante del Avance del Plan Especial de Reordenación Urbana en parcela de equipamiento docente EED (TA-382), Espinardo, para la ejecución de una residencia universitaria.",PLAN_ESP,,,,
47,dog,"ANUNCIO de aprobación definitiva del estudio de detalle para la ampliación del complejo deportivo Agra I, en Agra do Orzán (expediente 631/2023/121).",PLAN_ESP,,,,
48,bon,"Aprobación inicial de Estudio de Detalle en las unidades UC-2.3 y UC-2.6 de suelo urbano consolidado de Arguiñariz, parcela 56 del polígono 1",PLAN_ESP,,,,
49,bon,Aprobación inicial de Plan Especial de Actuación Urbana en la unidad UO2,PLAN_ESP,,,,
50,bocyl,"ACUERDO de 19 de diciembre de 2024, del Pleno del Ayuntamiento de Palencia, por el que se aprueba definitivamente la modificación puntual del Plan General de Ordenación Urbana de Palencia, en el ámbito de la ficha n.º 6, zona de Ordenanza Terciario.",MOD_PUN,,,,
51,boc,Informe Ambiental Estratégico de la Modificación Puntual 1/2022 de las Normas Subsidiarias de planeamiento de Riotuerto.,MOD_PUN,,,,
52,docm,"Anuncio de 14/01/2025, del Ayuntamiento de Ciudad Real, sobre información pública de la Modificación Puntual número 4 del Plan Parcial del Programa de Actuación Urbanizadora del sector S-MADR2 y del articulado de las Nomas Urbanísticas del Plan General de Ordenación Urbana. Centro de I+D Embarba.",MOD_PUN,,,,
53,bor,"Aprobación inicial del proyecto de modificación puntual de las Normas Subsidiarias en la calle El Sol, número 34 y 34 B",MOD_PUN,,,,
54,dogv,ANUNCIO por el que se somete a información pública la modificación puntual número 4 del Plan general de ordenación urbana de Gilet «Redelimitación de la Unidad de Ejecución UE-1»,MOD_PUN,,,,
55,bor,"Aprobación inicial de la Modificación Puntual Número 15 del Plan General Municipal de Calahorra, para ampliación del equipamiento público",MOD_PUN,,,,
56,bocyl,"ACUERDO de 26 de febrero de 2025, de la Comisión Territorial de Medio Ambiente y Urbanismo de Soria, por el que se aprueba definitivamente la modificación puntual número 55 de las Normas Urbanísticas Municipales de Golmayo (Soria). Expte.: 35/2025 U.",MOD_PUN,,,,
57,bocyl,"ACUERDO de 26 de febrero de 2025, de la Comisión Territorial de Medio Ambiente y Urbanismo de Soria, por el que se aprueba definitivamente la modificación puntual número 56 de las Normas Urbanísticas Municipales de Golmayo (Soria), promovida por «Inmobiliaria M.R., S.A.U.». Expte.: 34/2025 U.",MOD_PUN,,,,
58,doe,Anuncio de 24 de marzo de 2025 sobre exposición al público de aprobación de viabilidad e inicial modificación puntual del Plan General Urbano.,MOD_PUN,,,,
59,bocyl,"ACUERDO de 26 de octubre de 2023, de la Comisión Territorial de Medio Ambiente y Urbanismo de León, por el que se aprueba definitivamente la modificación puntual n.º 3 de las Normas Urbanísticas Municipales de Maraña (León). Expte.: 2022-137.",MOD_PUN,,,,
60,bocyl,"ORDEN MAV/129/2025, de 12 de febrero, por la que se formula el informe ambiental estratégico de la modificación puntual n.º 9 del Plan General de Ordenación Urbana de Dueñas (Palencia). EAES/2024/110.",MOD_PUN,,,,
61,docm,"Anuncio de 27/01/2025, del Ayuntamiento de Esquivias (Toledo), sobre información pública de la Modificación Puntual número 5 de las Normas Subsidiarias de Planeamiento Municipal (ordenación detallada) de los artículos 4.3.1, 4.3.2, 5.6.4, 5.6.5, 5.6.6, 5.6.7, 5.7.4, 5.7.5, 5.7.6, 5.7.7, incluidos en las normas generales de la edificación y ordenanzas de suelo urbano de las mismas.",MOD_PUN,,,,
62,doe,"Anuncio de 24 de enero de 2025 sobre aprobación inicial de la modificación puntual 2/2024/OD, modificación de la alineación de la avenida de la Paz en su encuentro con calle Luis Chamizo.",MOD_PUN,,,,
63,bocyl,"ORDEN MAV/55/2025, de 24 de enero, por la que se formula el informe ambiental estratégico de la modificación puntual de las Normas Urbanísticas Municipales de Valle de Mena (Burgos), sector SUNC-04 en Villasana de Mena. Expte.: EAES/2024/080.",MOD_PUN,,,,
64,bocyl,"ORDEN MAV/91/2025, de 4 de febrero, por la que se formula el informe ambiental estratégico de la modificación puntual de las Normas Urbanísticas Municipales de Bermillo de Sayago, reclasificación parcela 22 y parte de la parcela 9013 del polígono 107, de Torrefrades (Zamora). Expte.: EAES/2024/087.",MOD_PUN,,,,
65,bocyl,"ORDEN MAV/108/2025, de 7 de febrero, por la que se formula la declaración ambiental estratégica de la modificación puntual n.º 2/2021 de las Normas Urbanísticas Municipales de Ayllón (Segovia), división del suelo urbanizable de uso industrial SUR-7 «La Mesa» en los sectores SUR-7A y SUR-7B y ordenación detallada del sector SUR-7A. EAEO/2024/018.",MOD_PUN,,,,
66,dog,"ANUNCIO de información pública relativa a la aprobación inicial de la modificación puntual de las normas subsidiarias de planeamiento de ámbito municipal, para la delimitación de un área de núcleo rural de Vilar do Mato (MPNNSSPP/SNR Vilar do Mato).",MOD_PUN,,,,
67,boib,Aprobación inicial de la modificación puntual nº 3 de las vigentes normas subsidiarias,MOD_PUN,,,,
68,boja,"Edicto de 29 de enero de 2025, de la Gerencia Municipal de Urbanismo del Excmo. Ayuntamiento de Almería, de información pública del procedimiento de Evaluación Ambiental Estratégica de la 78.ª modificación puntual del PGOU de Almería. (PP. 230/2025).",MOD_PUN,,,,
69,doe,Anuncio de 28 de enero de 2025 sobre aprobación de la modificación puntual n.º 2 a-b-c-e del Plan General Municipal.,MOD_PUN,,,,
70,bocyl,INFORMACIÓN pública relativa a la aprobación inicial de la modificación puntual n.º 4 de las Normas Urbanísticas Municipales de San Cristóbal de Segovia (Segovia). Expte.: 318/2025.,MOD_PUN,,,,
71,dog,ANUNCIO de la aprobación definitiva de la modificación puntual del Plan general de ordenación municipal y del PE-1 en el ámbito de la parcela EM-FE (O Espiño) (expediente 2024/00051617M).,MOD_PUN,,,,
72,dogv,ANUNCIO de la modificación puntual del Plan general de ordenación urbana 82 en la avenida del Parador y calles del Rèmol y del Corball.,MOD_PUN,,,,
73,borm,Aprobación inicial de la modificación puntual n.º 8 del Plan Especial de Ordenación y Protección del Conjunto Histórico de Cartagena en parcela 78342-11 C/ Real 12. Mercantil Dentro y Fuera SL.,MOD_PUN,,,,
74,doe,"Acuerdo de 30 de noviembre de 2023, de la Comisión de Urbanismo y Ordenación del Territorio de Extremadura, de aprobación definitiva de la modificación puntual n.º 1 del Plan General Municipal de Malpartida de Cáceres para la delimitación de la Unidad de Actuación UA-AU-10.1 del polígono industrial ""Las Arenas"", con el objetivo de eliminar la discontinuidad existente compactando la misma.",MOD_PUN,,,,
75,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico, para la ejecución del proyecto de urbanización de calles y plazas, en el término municipal de Pozaldez (Valladolid), obra incluida en el Plan Diputación-Ayuntamientos 2024-2025. Expte.: 1/2025.",PROY_URB,,,,
76,doe,Anuncio de 19 de febrero de 2025 sobre aprobación inicial del Proyecto de Urbanización que afecta al Sector Urbanizable SUB-1 de las Normas Subsidiarias Municipales.,PROY_URB,,,,
77,boja,"Anuncio de 14 de marzo de 2025, de la Dirección General de Ordenación del Territorio, Urbanismo y Agenda Urbana, por el que se notifica acuerdo de inicio de procedimiento sancionador por adquisición de cuotas y porcentajes de propiedad en parcelación urbanística, en el término municipal de Dos Hermanas (Sevilla).",PROY_URB,,,,
78,bor,"Modificado al Proyecto de Urbanización en UE N 7-10 ""Río San Miguel"" proveniente del PERI 41 Río San Miguel. Aprobación inicial. 09.3. Expediente URB07-2024/0007",PROY_URB,,,,
79,boja,"Anuncio de 20 de diciembre de 2024, de la Dirección General de Ordenación del Territorio, Urbanismo y Agenda Urbana, por el que se requiere el cumplimiento de la resolución finalizadora de procedimiento de restablecimiento de la legalidad territorial por parcelación urbanística, en el t.m. de San Roque (Cádiz).",PROY_URB,,,,
80,boc,"Aprobación definitiva de la modificación del ámbito de la Unidad de Ejecución R-06 de Renedo, así como estimación y desestimación de alegaciones. Expediente 2023/8287.",PROY_URB,,,,
81,bocyl,"APROBACIÓN definitiva del Convenio Urbanístico de obtención de terrenos para su destino de dotación pública establecido en el Planeamiento Urbanístico vigente, ejecutando su urbanización según el proyecto de urbanización de la calle Menéndez Pidal en Villaobispo de las Regueras, en el término municipal de Villaquilambre (León).",PROY_URB,,,,
82,dogv,"ANUNCIO de la modificación puntual del Plan parcial de la unidad de ejecución número 1 del sector O-1 Las Filipinas, del Plan general municipal de ordenación urbana de Orihuela.",PROY_URB,,,,
83,dogv,ANUNCIO en relación a la información pública de la aprobación inicial del proyecto de reparcelación voluntaria modificada de la unidad de ejecución del plan de reforma interior UE 4.2. Montesano.,PROY_URB,,,,
84,boja,"Anuncio de 30 de enero de 2025, de la Dirección General de Ordenación del Territorio, Urbanismo y Agenda Urbana, por el que se notifica acuerdo de inicio de procedimiento sancionador por adquisición de cuotas y porcentajes de propiedad en parcelación urbanística, en el término municipal de Dos Hermanas (Sevilla).",PROY_URB,,,,
85,bon,Denominación de la vía pública y numeración de las parcelas resultantes del proyecto de reparcelación del Sector 1 de Arazuri,PROY_URB,,,,
86,boja,"Anuncio de 20 de diciembre de 2024, de la Dirección General de Ordenación del Territorio, Urbanismo y Agenda Urbana, por el que se requiere el cumplimiento de la resolución finalizadora de procedimiento de restablecimiento de la legalidad territorial por parcelación urbanística, en el t.m. de San Roque (Cádiz).",PROY_URB,,,,
87,bocyl,APROBACIÓN definitiva del proyecto de urbanización de la UA1 de Bernuy de Porreros (Segovia). Expte.: 259/2024.,PROY_URB,,,,
88,borm,"Anuncio de aprobación inicial del programa de actuación, el proyecto de reparcelación y el proyecto de urbanización de las Unidades de Actuación n.º 3A y 3B de las Normas Subsidiarias de Planeamiento.",PROY_URB,,,,
89,dog,"ANUNCIO de 22 de enero de 2025, de la Dirección General de Calidad Ambiental y Sostenibilidad, por el que se hace público el informe de impacto ambiental del proyecto de urbanización para la ampliación del parque tecnológico y logístico de Vigo, en el ayuntamiento de Vigo (Pontevedra) (expediente 2023/0100).",PROY_URB,,,,
90,dogc,"Anuncio por el que se somete a información pública la solicitud de autorización administrativa previa, autorización administrativa de construcción, autorización del proyecto de actuación específica de interés público en suelo no urbanizable y evaluación de impacto ambiental del proyecto de la planta solar fotovoltaica denominada PS Eguzki Alt Empordà, de 4,95 MW sobre terreno en suelo no urbanizable, en el término municipal de L'Escala, en la provincia de Girona, y su infraestructura de evacuación, líneas soterradas a 25 kV, líneas aéreas a 25 kV y centro de medida, en los términos municipales de L'Escala y Albons (exp. FUE-2024-03915984, ref. 3095)",LIC_URB,,,,
91,dogc,"Anuncio por el que se somete a información pública la solicitud de autorización administrativa previa, autorización administrativa de construcción, autorización del proyecto de actuación específica de interés público en suelo no urbanizable y evaluación de impacto ambiental del proyecto de la planta solar fotovoltaica denominada Can Bou, de 4.950 kW en suelo no urbanizable, en el término municipal de Subirats, en la provincia de Barcelona, y su infraestructura de evacuación, líneas soterradas a 25 kV, en el término municipal de Subirats (exp. FUE-2024-03662271, ref. 02921)",LIC_URB,,,,
92,bocyl,"ORDEN MAV/239/2025, de 11 de marzo, por la que se aprueba definitivamente la modificación del Plan General de Ordenación Urbana de Burgos, para cambio de calificación urbanística de la parcela situada en la calle López Bravo n.º 53 (polígono Villalonquéjar).",LIC_URB,,,,
93,bocyl,"CORRECCIÓN de errores de la información pública relativa a la solicitud de autorización de uso excepcional de suelo rústico de entorno urbano, para la instalación de un depósito de abastecimiento de agua para agricultores en la parcela 5086 del polígono 501, en el término municipal de Doñinos de Salamanca (Salamanca). Expte.: 783/2024.",LIC_URB,,,,
94,boe,"Anuncio complementario del Departament d'Acció Climàtica, Alimentació i Agenda Rural - Serveis Territorials a les Terres de l'Ebre de la Generalitat de Catalunya, por el cual se somete a información pública la solicitud de autorización administrativa previa, autorización administrativa de construcción, de declaración de utilidad pública y de autorización del proyecto de actuación específica de interés público en suelo no urbanizable y evaluación de impacto ambiental del proyecto del parque solar denominado Flix-Ascó II de 16,06 MW sobre terreno en suelo no urbanizable, en el término municipal de Flix, en la comarca de la Ribera d'Ebre y su infraestructura de evacuación, línea soterrada en 30 kV que conecta la instalación de producción a la SET ERCAM 30/132 kV en el término municipal de Flix, en la comarca de la Ribera d'Ebre. (Expediente: FUE-2022-02595207).",LIC_URB,,,,
95,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico y licencia urbanística, para la instalación de una torre de telecomunicaciones en la parcela 456 del polígono 22, Horretona, en el término municipal de San Vicente de la Cabeza (Zamora).",LIC_URB,,,,
96,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico y licencia urbanística, para el despliegue de fibra óptica entre Villaquirán de los Infantes y Los Balbases, en el término municipal de Los Balbases (Burgos). Expte.: 57/2024.",LIC_URB,,,,
97,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico, promovida por «Adamo Telecom Iberia, S.A.U.», para el proyecto de obra civil para la interconexión de fibra óptica entre Barromán-05_05023_000064, en el término municipal de Barromán (Ávila). Expte.: 75/2024.",LIC_URB,,,,
98,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico para una instalación solar fotovoltaica de autoconsumo conectada a red con excedentes en la parcela 48 del polígono 5, en el término municipal de Lumbrales (Salamanca). Expte.: 70/2024.",LIC_URB,,,,
99,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional, licencia de obras, licencia de actividad y autorización para la implantación de un servicio terciario de ocupación de tiempo de ocio para niños y hostelero en las naves del polígono Nuestra Señora de la Asunción 28-29, en el término municipal de Villalobón (Palencia).",LIC_URB,,,,
100,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico, promovida por «Adamo Telecom Iberia, S.A.», para la interconexión de fibra óptica en el tramo comprendido entre La Higuera y Lanzahíta, en el término municipal de Lanzahíta (Ávila). Expte.: 32/2023.",LIC_URB,,,,
101,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico / protección natural / forestal (SR/PN/F) y afectado como protección cultural / Bic Zona Arqueológica Las Médulas (SR/PC/BIC ZAM), promovida por el Ayuntamiento, para la instalación de una caseta prefabricada de madera en el aparcamiento de Mirador de Orellán en la parcela 1997 del polígono 34, paraje Souto Ribeiro, en el término municipal de Borrenes (León).",LIC_URB,,,,
102,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico y licencia urbanística para la instalación de línea eléctrica subterránea a 3,3 kW, para acometida eléctrica a la parcela 69 del polígono 7, en el término municipal de Matilla de los Caños del Río (Salamanca). Expte.: 13/2025.",LIC_URB,,,,
103,docm,"Anuncio de 07/02/2025, del Ayuntamiento de Fuentealbilla (Albacete), sobre información pública del expediente de calificación urbanística para ejecución de instalación de autoconsumo agrovoltaico para alimentar sistema de riego en Fuentealbilla, a instancia de Huerto Tornasol, SL.",LIC_URB,,,,
104,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico, para la construcción de una pista de pádel en la parcela 5164 del polígono 6, en el término municipal de Quintanilla del Molar (Valladolid). Expte.: 9/2025.",LIC_URB,,,,
105,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico y licencia urbanística, para la construcción de una nave agrícola de 328,02 m² en las parcelas 264, 266 y 267 del polígono 12, en el término municipal de Camponaraya (León). Expte.: 1238/2024.",LIC_URB,,,,
106,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico y licencia urbanística, promovida por «American Tower España, S.L.», para el establecimiento de una estación base de telefonía móvil en la parcela 5064 del polígono 3, en el término municipal de Navalilla (Segovia). Expte.: 9/2025.",LIC_URB,,,,
107,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico y licencia urbanística, para la construcción de cuatro edificaciones destinadas al alojamiento rural y dos de servicios comunes en la parcela 70 del polígono 29, en el término municipal de Arenas de San Pedro (Ávila). Expte.: 1737/2023.",LIC_URB,,,,
108,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico, licencia urbanística y licencia ambiental, promovido por «Norsol Eléctrica, S.L», para la instalación generadora fotovoltaica «FV Saldaña II», centro de transformación y línea de evacuación en la parcela 57 del polígono 502 , en el término municipal de Saldaña de Burgos (Burgos).",LIC_URB,,,,
109,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico y licencia urbanística, promovido por «Avatel Telecom, S.A.», para la instalación de fibra óptica subterránea, en el término municipal de Fuentes de Valdepero (Palencia). Expte.: 1/2025.",LIC_URB,,,,
110,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización de uso excepcional de suelo rústico y licencia urbanística, para la construcción de una vivienda unifamiliar aislada en la calle Tierra n.º 8, área de regularización PE-2, en el término municipal de Valverdón (Salamanca). Expte.: 26/2025.",LIC_URB,,,,
