bulletin,description,act_type_n1,grupo_muestreo
dogc,"Resolución TER/565/2025, de 5 de febrero, por la que se otorga la autorización ambiental con declaración de impacto ambiental de una modificación sustancial a la empresa Prezero Gestión de Residuos, SA, para la actividad de depósito controlado de residuos de Can Mata, consistente en la ampliación del depósito, nuevas celdas 16, 17, 18 y 19, en el término municipal de Els Hostalets de Pierola (exp. B1CS230008)",resolución,DIA
dogc,"Anuncio de información pública sobre la solicitud de modificación sustancial de la autorización ambiental con declaración de impacto ambiental de la actividad ganadera porcina promovida por la empresa De Aardborst Spain, SL, en el término municipal de Ulldecona (exp. E1CS220047)",anuncio,DIA
dogv,"RESOLUCIÓN de 11 de febrero de 2025, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la cual se formula declaración de impacto ambiental del proyecto de instalación para el tratamiento de residuos de construcción y demolición no peligrosos del término municipal de Muro de Alcoy (Alicante). Expediente: (3606221) 007/2025/AIA.",resolución,DIA
boa,"RESOLUCIÓN de 11 de noviembre de 2024, del Instituto Aragonés de Gestión Ambiental, por la que se modifica puntualmente la de 23 de mayo de 2024, en la que se formuló la declaración de impacto ambiental y se otorgó la Autorización Ambiental Integrada para el proyecto de ampliación de una explotación porcina de cebo hasta 4.390 plazas, equivalente a 526,80 UGM, con emplazamiento en polígono 512, parcela 59, del término municipal de Almunia de Ojos Negros (Teruel) y promovido por La Magallosa, SC. (Número de Expediente: INAGA 500305/02/2024/09792).",resolución,DIA
dogv,"CORRECCIÓN De ERRORES de la Resolución de 28 de junio de 2023, de la Dirección General de Calidad y Educación Ambiental, por la cual se formula declaración de impacto ambiental del proyecto de regularización de explotación ganadera de ovino dedicada a la producción de leche y corderos para carne, en las parcelas 44, 46, 47, 127, 128 del polígono 3, y en las parcelas 38 y 188 del polígono 2, en el término municipal de Catadau. Expediente: (2079248) 144/2021/AIA.",corrección_errores,DIA
docm,"Resolución de 13/11/2024, de la Dirección General de Calidad Ambiental, por la que se formula la declaración de impacto ambiental del proyecto: Planta de tratamiento de residuos de construcción y demolición (expediente PRO-SC-21-0925), situado en el término municipal de Alcaraz (Albacete), cuya promotora es Trans Alcaraz, SL.",resolución,DIA
boca,"Viceconsejería de Transición Ecológica, Lucha contra el Cambio Climático y Energía.- Anuncio por el que se hace pública la Resolución de 26 de febrero de 2025, que da publicidad al Acuerdo de la Comisión Autonómica de Evaluación Ambiental de 21 de febrero de 2025, por el que se formula la Declaración de Impacto Ambiental del proyecto denominado “Planta de reciclaje para la recuperación de productos férricos y no férricos”, promovido por la Empresa Rimetal, S.A., en el Polígono Industrial de Arinaga, en el término municipal de Agüimes, Gran Canaria.- Expte. 26/2024-0730105529.",anuncio,DIA
dog,"ANUNCIO de 30 de diciembre de 2024, de la Dirección General de Calidad Ambiental y Sostenibilidad, por el que se hace pública la declaración de impacto ambiental del proyecto de renovación tecnológica del parque eólico Castelo, en los ayuntamientos de Coristanco, Santa Comba, Tordoia y Val do Dubra (A Coruña). Clave del expediente 2024/0291.",anuncio,DIA
bocyl,"RESOLUCIÓN de 28 de enero de 2025, de la Dirección General de Infraestructuras y Sostenibilidad Ambiental, por la que se dicta la declaración de impacto ambiental del proyecto de ampliación de una explotación porcina en fase I de 750 a 1.870 plazas (443,18 UGM), en el término municipal de Cabezuela (Segovia). Expte.: 029-19AA-SG.",resolución,DIA
boe,"Resolución de 12 de marzo de 2025, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto «Autovía A-43, del Guadiana. Tramo: Torrefresneda (A-5)-Santa Amalia».",resolución,DIA
dogv,"RESOLUCIÓN de 17 de septiembre de 2024, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la cual se formula declaración de impacto ambiental del Proyecto de almacén y gestión de residuos metálicos y de automoción, del término municipal de Aldaia (València). Expediente: (3502285) 253/2024/AIA.",resolución,DIA
dogv,"RESOLUCIÓN de 18 de octubre de 2024, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la cual se formula modificación de las condiciones de la declaración de impacto ambiental (DIA), de 21 de marzo de 2017, del proyecto de explotación porcina de multiplicación de madres reproductoras y de producción de lechones, parcelas 98 y 101 del polígono 23 de les Coves de Vinromà (Castellón). Expediente: (3498014) MOD/2024/003.",resolución,DIA
dogc,"Anuncio de información pública sobre la solicitud de autorización ambiental con declaración de impacto ambiental de la actividad ganadera porcina promovida por Caporbi, SL, en el término municipal de Granyena de les Garrigues (exp. L1AAI1230245)",anuncio,DIA
boe,"Resolución de 8 de enero de 2025, de la Dirección General de Calidad y Evaluación Ambiental, de modificación de condiciones de la Resolución de 4 de noviembre de 2019, por la que se formula declaración de impacto ambiental sobre el proyecto «Subestación San Fernando 400/220 kV, Línea 400 kV E/S San Fernando-L/Estación Terminal Morata 1-Morata, Conexión 220 kV E/S San Fernando-L/Fuentecilla-Ardoz, Conexión 220 kV San Fernando Puente San Fernando».",resolución,DIA
boa,"RESOLUCIÓN de 4 de noviembre de 2024, del Instituto Aragonés de Gestión Ambiental, por la que se modifica puntualmente la Resolución de 9 de octubre de 2006, del Instituto Aragonés de Gestión Ambiental, por la que se formula la declaración de impacto ambiental y se otorga la Autorización Ambiental Integrada para la Ampliación de explotación porcina de cebo con capacidad para 3.776 plazas, en el término municipal de Foz-Calanda (Teruel) y promovido por Santiago Lej Moliner. (Número de Expediente: INAGA 500305/02/2024/10512).",resolución,DIA
dog,"ANUNCIO de 20 de diciembre de 2024, de la Dirección General de Calidad Ambiental y Sostenibilidad, por el que se hace pública la declaración de impacto ambiental del proyecto de línea de alta tensión a 220 kV PE Gato-SEC Mesón y subestación colectora Mesón 220/132 kV, en los ayuntamientos de Abegondo, Carral, Ordes y Oza-Cesuras (A Coruña) (expediente 2020/0268).",anuncio,DIA
bocyl,"ORDEN MAV/20/2025, de 17 de enero, por la que se dicta la declaración de impacto ambiental sobre el proyecto de ampliación de la autorización de aprovechamiento de recursos de la sección A) «Las Suertes» n.º 45-10, ubicado en el término municipal de Vegas de Matute (Segovia).",orden,DIA
dogv,"RESOLUCIÓN de 28 de octubre de 2024, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la cual se formula declaración de impacto ambiental del Proyecto para la puesta en riego de parcelas (transformación de secano a regadío) en el término municipal de Planes (Alicante). Expediente: (2782041) 140/2022/AIA.",resolución,DIA
boe,"Anuncio del Área Funcional de Industria y Energía de la Delegación del Gobierno en Madrid, por el que se somete a información pública la solicitud de Autorización Administrativa Previa y Declaración de Impacto Ambiental del proyecto de la planta fotovoltaica FV Caiba, de 200 MW de potencia instalada, y su infraestructura de evacuación, en la Comunidad de Madrid, promovido por la Sociedad Desarrollos Renovables Iberia Dzeta, S.L.U. Exp.: PFOT-1169.",anuncio,DIA
boc,"Resolución por la que se formula declaración de impacto ambiental del Proyecto Estudio Informativo del Eje A-67. Cortiguera-Tagle. Tramo: Suances-Requejada, en los términos municipales de Suances y Polanco.",resolución,DIA
dogc,"Resolución TER/4800/2024, de 21 de noviembre, por la que se otorga la autorización ambiental de la modificación sustancial con declaración de impacto ambiental de la empresa Matías Gomà Tomàs, SA, para una actividad de fabricación de papel y cartón, en el término municipal de La Riba (exp. T1CS210127)",resolución,DIA
bocyl,"RESOLUCIÓN de 22 de enero de 2025, de la Dirección General de Infraestructuras y Sostenibilidad Ambiental, por la que se dicta la declaración de impacto ambiental del proyecto de planta de valorización de residuos para la producción de biometano, ubicada en la parcela 99 del polígono 619, del término municipal de San Millán de los Caballeros (León), promovido por «Biorig Energy San Millán - León, S.L.». Expte.: EIAO/2024/LE/008.",resolución,DIA
bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización administrativa previa y declaración de impacto ambiental del proyecto de parque eólico «Torretarrancho», y su infraestructura de evacuación, en los términos municipales de Fuentes de Magaña, Cerbón y Valdeprado (Soria), titularidad de «Ruralia Europa, S.L.U.».",información_pública,DIA
dogc,"Resolución TER/4743/2024, de 23 de diciembre, por la que se otorga la autorización ambiental con declaración de impacto ambiental a la empresa Ramaderia Can Jordi, SL, para una actividad ganadera de ganado porcino, en el término municipal de Riudellots de la Selva (exp. G1AAI230075)",resolución,DIA
borm,"Anuncio de la Resolución de la Secretaría General de Medio Ambiente, Universidades, Investigación y Mar Menor por la que se emite Declaración de Impacto Ambiental AAI20240004 sobre planta de tratamiento de biorresiduos para generación de fertilizante y biometano sita en el Polígono/Paraje “Los Morales”, parcela 32, en el término municipal de Fuente Álamo (Murcia), a solicitud de Fuente Álamo Bioenergy, S.L.",anuncio,DIA
docm,"Resolución de 14/02/2025, de la Delegación Provincial de Desarrollo Sostenible de Albacete, por la que se formula la declaración de impacto ambiental del proyecto: Repotenciación parque eólico Isabela de 48 MW y su infraestructura de evacuación (expediente industria 02271000114_2R) (expediente PRO-AB-24-1667), situado en los términos municipales de Casas de Lázaro y Peñascosa (Albacete), cuya promotora es Ibercam-Iberdrola Renovables Castilla-La Mancha, SA.",resolución,DIA
boa,"RESOLUCIÓN de 19 de diciembre de 2024, del Instituto Aragonés de Gestión Ambiental, por la que se modifica puntualmente la de 16 de septiembre de 2019, en la que se formuló la declaración de impacto ambiental y se otorgó la Autorización Ambiental Integrada para la ampliación de una explotación porcina de cebo hasta una capacidad de 7.142 plazas (857,04 UGM), en el polígono 1, parcelas 5003 y 5018, del término municipal de Sariñena (Huesca) y promovida por Agropecuaria del Isábena SL. (Número de Expediente: INAGA 500305/02/2024/05920).",resolución,DIA
boa,"RESOLUCIÓN de 15 de enero de 2025, del Instituto Aragonés de Gestión Ambiental, por la que se modifica puntualmente la de 2 de noviembre de 2023, en la que se formuló declaración de impacto ambiental y se otorgó la Autorización Ambiental Integrada para el proyecto de ampliación de una explotación porcina de producción de cebo hasta 7.200 plazas, equivalente a 864 UGM, en polígono 29, parcela 73, del término municipal de Villamayor de Gállego (Zaragoza), promovida por Javier Sevil Aquillué.  (Número de Expediente: INAGA 500305/02/2024/11416).",resolución,DIA
boa,"RESOLUCIÓN de 20 de diciembre de 2024, del Instituto Aragonés de Gestión Ambiental, por la que se formula la declaración de impacto ambiental del proyecto de infraestructura de evacuación compartida compuesta por ""Subestación Regadera 220/30 kV"", línea aérea de 220 kV ""SET Regadera""- ""SET El Grado"", y adecuación posición ATP en la SET ""El Grado 220 kV"" (REE), en los términos municipales de Estadilla, Estada, Barbastro, Hoz y Costean, El Grado (Huesca), promovido por Regadera Solar, SL. Número de Expediente INAGA 500306/01L/2024/01290.",resolución,DIA
docm,"Resolución de 19/02/2025, de la Dirección General de Calidad Ambiental, por la que se formula la declaración de impacto ambiental del proyecto: Planta de fundición de aluminio (expediente PRO-SC-24-1141), situado en La Gineta (Albacete), cuya promotora es Aluind, SL.",resolución,DIA
bocyl,"RESOLUCIÓN de 21 de enero de 2025, de la Dirección General de Infraestructuras y Sostenibilidad Ambiental, por la que se dicta la declaración de impacto ambiental del proyecto de una planta de cogeneración de energía eléctrica y vapor de proceso a partir de biomasa, denominada «Roblum», y una planta anexa de captura de CO2, en el término municipal de La Robla (León), promovido por «Desarrollos Renovables Abies, S.L.».",resolución,DIA
boib,"Resolución de la Directora General de Armonización Urbanística y Evaluación ambiental por la que se formula la declaración de impacto ambiental de la modificación sustancial de la AAI IPPC 02/2015 centro de recepción y pretratamiento de hidrocarburos, aceites usados y aguas aceitosas en el dique del Oeste a Palma, promovido por parte de Servmar Balear SL en la parcela 6.2.05 sector portuario San Carlos - Dique del Oeste, TM Palma (Exp. 33A/2024)",resolución,DIA
dogc,"Anuncio de información pública sobre la solicitud de autorización ambiental con declaración de impacto ambiental de la actividad de gestión de residuos peligrosos promovida por Almaita Ambiental, SL, en el término municipal de Olesa de Montserrat (exp. B1AAI230372)",anuncio,DIA
dogv,"RESOLUCIÓN de 18 de febrero de 2025, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto de autorización ambiental integrada para una industria de fabricación de baterías, en el polígono 101, parcela 2 GAUSA (Parc Sagunt II), del término municipal de Sagunto. Expediente: (3675763) 15/2025/AIA.",resolución,DIA
boe,"Anuncio de la Consejería de Empresa, Empleo y Energía de apertura de trámite de información pública para la solicitud de proyecto de interés autonómico energético, declaración de impacto ambiental, infraestructura de evacuación y autorización administrativa previa del proyecto «Ebro Energy Artà» situado en el polígono 12, parcela 168 del término municipal de Artà (exp. BAT 2024/25386).",anuncio,DIA
dogc,"Anuncio de información pública sobre la solicitud de modificación sustancial de la autorización ambiental con declaración de impacto ambiental de la actividad ganadera porcina promovida por La Cendrosa, SL, en el término municipal de Penelles (exp. FUE-2024-04049118)",anuncio,DIA
dogc,"Resolución TER/179/2025, por la que se hace público el Acuerdo de declaración de impacto ambiental del Proyecto de modificación sustancial de la autorización ambiental del depósito controlado de residuos de Can Mata, consistente en la ampliación del depósito mediante las nuevas celdas 16, 17, 18 y 19, en el término municipal de Els Hostalets de Pierola (exp. B1CS230008)",resolución,DIA
docm,"Resolución de 20/02/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, por la que se formula la declaración de impacto ambiental del proyecto: Mejora de regadíos por goteo para pistacho e infraestructuras hidráulicas en la finca San Martín (expediente PRO-TO-23-3147), situado en el término municipal de La Puebla de Montalbán (Toledo), cuya promotora es Agrícola Monte Verde SL.",resolución,DIA
dogc,"Resolución TER/753/2025, de 27 de febrero, por la que se hace público el Acuerdo de declaración de impacto ambiental del Proyecto de restauración de la explotación Ampliació Can Thos III, en el término municipal de Massanes (exp. G3DIA200007 y AE 19/4192)",resolución,DIA
boa,"RESOLUCIÓN de 12 de febrero de 2025, del Instituto Aragonés de Gestión Ambiental, por la que se modifica puntualmente la de 3 de enero de 2017, en la que se formuló declaración de impacto ambiental y se otorgó la Autorización Ambiental Integrada para la ampliación de una explotación de ganado porcino de cebo hasta una capacidad de 4.160 plazas (499,20 UGM), situada en el polígono 6, parcela 117, del término municipal de Laluenga (Huesca), y promovida por Bal-Ben SC. (Número de Expediente: INAGA 500305/02/2024/09790).",resolución,DIA
boe,"Resolución de 20 de diciembre de 2024, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto «Instalación fotovoltaica Madrid Norte 1, de 69 MW de potencia instalados, y para su infraestructura de evacuación, en las provincias de Guadalajara y Madrid».",resolución,DIA
doe,"Resolución de 27 de diciembre de 2024, de la Dirección General de Sostenibilidad, por la que se formula declaración de impacto ambiental al proyecto de explotación avícola de cebo de pollos, en el término municipal de Villanueva del Fresno, cuyo promotor es José María Pérez Flores. Expte.: IA23/1625.",resolución,DIA
boca,"Viceconsejería de Transición Ecológica, Lucha contra el Cambio Climático y Energía.- Anuncio por el que se hace pública la Resolución de 11 de diciembre de 2024, que da publicidad al Acuerdo de la Comisión Autonómica de Evaluación Ambiental de 3 de diciembre de 2024, relativo a la Declaración de Impacto Ambiental del proyecto denominado “Parque Eólico El Vivero”, promovido por Ayagaures Medio Ambiente, S.L., en el término municipal de Agüimes, Gran Canaria.- Expte. 18/2024-0710134240.",anuncio,DIA
boib,Resolución de la directora general de Armonización Urbanística y Evaluación Ambiental por la que se formula la declaración de impacto ambiental sobre el Proyecto de renovación de la red de transporte de agua de la Font de Ses Artigues (152A/2024),resolución,DIA
boa,"RESOLUCIÓN de 26 de diciembre de 2024, del Instituto Aragonés de Gestión Ambiental, por la que se formula la declaración de impacto ambiental y se otorga la Autorización Ambiental Integrada para el proyecto de ampliación de una explotación porcina de cebo hasta 3.700 plazas, equivalente a 444 UGM, con emplazamiento en polígono 15, parcelas 156 y 157, del término municipal de Alcubierre (Huesca), promovido por Miguel Serrano Becana.  (Número de Expediente: INAGA 500202/02/2022/09567).",resolución,DIA
doe,"Anuncio de 13 de enero de 2025 por el que se somete a información pública la petición de autorización administrativa previa de las instalaciones correspondientes al proyecto denominado CT Cárdeno nuevo de 630 kVA, en Fuentes de León. Expte.: 06/AT-18456/01732.",anuncio,AAP
bor,"Resolución 139/2025, de 6 de febrero, de la Dirección General de Empresa, Energías e Internacionalización de autorización administrativa previa y autorización administrativa de construcción de Variante de LAAT de 66 kV línea ""Quel-Rincón"", entre el apoyo 150 y el apoyo 221. AT/1485301",resolución,AAP
boe,"Anuncio del Área de Industria y Energía de la Subdelegación del Gobierno en Sevilla, por el que se somete a información pública la solicitud de modificación de autorización administrativa previa y autorización administrativa de construcción de la de la Subestación Eléctrica Dulcero 30/220kV, en el término municipal de Carmona, provincia de Sevilla. Expte: PFOT-122.",anuncio,AAP
dogc,"Anuncio por el que se somete a información pública la solicitud de autorización administrativa previa, autorización administrativa de construcción, autorización del proyecto de actuación específica de interés público en suelo no urbanizable y evaluación de impacto ambiental del proyecto de la planta solar fotovoltaica denominada PSFV de autoconsumo Monredons-Valls, de 660 kW sobre terreno en suelo no urbanizable, y su línea directa de evacuación, en el término municipal de Flix, en la comarca de La Ribera d’Ebre (exp. FUE-2024-04087614)",anuncio,AAP
dogc,"Anuncio por el que se somete a información pública la solicitud de autorización administrativa previa, autorización administrativa de construcción, autorización del proyecto de actuación específica de interés público en suelo no urbanizable y evaluación de impacto ambiental del proyecto de la planta solar fotovoltaica denominada PSFT Puigpelat HYP, de 2,078 MW sobre terreno en suelo no urbanizable, en el término municipal de Puigpelat, en la provincia de Tarragona, y su infraestructura de evacuación, línea subterránea a 25 kV, en el término municipal de Puigpelat, en la comarca de L'Alt Camp (exp. FUE-2023-03421400, ref. 02803)",anuncio,AAP
bor,"Anuncio de Información Pública de la solicitud de autorización administrativa previa y de construcción de instalación eléctrica, y de su declaración de utilidad pública. AT/1970904",anuncio,AAP
dog,"RESOLUCIÓN de 3 de febrero de 2025, del Departamento Territorial de A Coruña, por la que se deniega la autorización administrativa previa y de construción y la declaración de utilidad pública, en concreto, de una instalación de distribución eléctrica en el ayuntamiento de Oleiros (expediente IN407A 2023/397-1).",resolución,AAP
boe,"Resolución de la Delegación Territorial de Economía, Hacienda, Fondos Europeos y de Industria, Energía y Minas en Huelva por la que se otorga autorización administrativa previa, autorización administrativa de construcción y declaración de utilidad pública en concreto de una instalación eléctrica de alta tensión en el término municipal de La Palma del Condado (Huelva) (Nuestra referencia: SV ENERGÍA/ECL/AT-18026 Expediente: HU-T-000000011).",resolución,AAP
boe,"Anuncio del Área de Industria y Energía de la Subdelegación del Gobierno en Córdoba por el que se somete a INFORMACIÓN PÚBLICA la solicitud de Autorización Administrativa Previa y Declaración de Impacto Ambiental del Anteproyecto de la Planta Solar Fotovoltaica ""ÓLEO SOLAR"" de 100,54 MWp y 80,3 MWn (limitada a 75 MWn en el punto de conexión), su infraestructura de evacuación a 30 kV hasta la Subestación Colectora y Elevadora Promotores Olivar de Cabra 400/30 KV, dicha Subestación, y la Línea de Alta Tensión a 400 KV desde la Subestación anterior hasta la Subestación Seccionadora Nudo Cabra 400 KV, todo ello en el término municipal de Cabra, en la provincia de Córdoba.",anuncio,AAP
docm,"Anuncio de 15/01/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, sobre información pública para autorización administrativa previa de instalación eléctrica. Referencia: E-45240222922.",anuncio,AAP
docm,"Anuncio de 13/01/2025, de la Delegación Provincial de Desarrollo Sostenible de Ciudad Real, por el que se somete a información pública la solicitud de autorización administrativa previa y autorización administrativa de construcción de la instalación eléctrica que se cita (número de expediente 13241106369-13211104960).",anuncio,AAP
boja,"Acuerdo de 30 de diciembre de 2024, de la Delegación Territorial de Economía, Hacienda, Fondos Europeos y de Industria, Energía y Minas en Huelva, por el que se abre un periodo de información pública conjunta sobre el procedimiento de autorización administrativa previa y ambiental unificada del proyecto de planta solar fotovoltaica. (PP. 63/2025).",acuerdo,AAP
borm,"Resolución de la Dirección General de Industria, Energía y Minas por la que se otorga a la empresa Sangonera Solar, S.L. la autorización administrativa previa, la autorización administrativa de construcción de la instalación eléctrica de producción denominada “Proyecto de planta solar FV “El Palmar I” de 1,2 MW (potencia instalada) y LA/SMT 20 kV evacuación”, y el reconocimiento en concreto, de la utilidad pública de la línea aérea/subterránea de alta tensión a 20 kV, de evacuación, en el término municipal de Murcia.",resolución,AAP
docm,"Notificación de 13/03/2025, de la Secretaría General, por la que se da publicidad a la resolución del recurso de alzada interpuesto sobre autorización administrativa previa y autorización administrativa de construcción de la instalación solar fotovoltaica denominada Sauce Solar, infraestructuras auxiliares y de evacuación RA 181/2023.",notificación,AAP
doe,"Anuncio de 28 de enero de 2025 por el que se somete a información pública la petición de autorización administrativa previa de las instalaciones correspondientes al proyecto denominado ""Ejecución de reforma de centro de distribución CD 46550 ""Pinilla"" a 20 kV, sito en polígono 4, parcela 11, Vega del Moral. Término municipal de Lobón"". Expte.: 06/AT-01788/18469.",anuncio,AAP
boja,"Anuncio de 21 de enero de 2025, de la Delegación Territorial de Economía, Hacienda, Fondos Europeos y de Industria, Energía y Minas en Sevilla, por el que se somete a información pública la solicitud de modificación de autorización administrativa previa y de construcción, así como la declaración en concreto de utilidad pública, relativa a la instalación de generación de energía eléctrica mediante tecnología eólica. (PP. 295/2025).",anuncio,AAP
dog,"RESOLUCIÓN de 2 de enero  de 2025, del Departamento Territorial de Ourense, por la que se concede la autorización administrativa previa y de construcción y se declara, en concreto, de utilidad pública, a los efectos de la urgente ocupación, de una instalación eléctrica en el ayuntamiento de O Carballiño (expediente IN407A 2024/101-3).",resolución,AAP
boe,"Resolución de 7 de noviembre de 2024, de la Dirección General de Política Energética y Minas, por la que se desestima la solicitud de Green Capital Development 110, SL, de autorización administrativa previa del parque eólico Monte Silvariño, de 66 MW de potencia instalada, y de su infraestructura de evacuación, en la provincia de A Coruña.",resolución,AAP
docm,"Resolución de 20/01/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, de autorización administrativa previa y autorización administrativa de construcción de instalación eléctrica de alta tensión con número de expediente: E-45211121397 corresponde I.",resolución,AAP
dog,"RESOLUCIÓN de 13 de febrero de 2025, del Departamento Territorial de A Coruña, por la que se concede la autorización administrativa previa y de construcción de una instalación de distribución eléctrica en el ayuntamiento de Fene (expediente IN407A 2024/239-1).",resolución,AAP
doe,"Anuncio de 30 de enero de 2025 por el que se somete a información pública la petición de autorización administrativa previa de las instalaciones correspondientes al proyecto denominado ""Anexo a nueva línea subterránea de media tensión 20 kV para el enlace del CT ""Dehesa 2"" con la LAMT 20 kV ""4872-03 Vegas Altas"". Término municipal: Navalvillar de Pela. Expte.: 06/AT-10177/18296.",anuncio,AAP
bocyl,"RESOLUCIÓN de 13 de diciembre de 2024, del Servicio Territorial de Industria, Comercio y Economía de Valladolid, relativa a la autorización administrativa previa de una instalación de producción de energía eléctrica, por tecnología fotovoltaica, denominada «LAN Mudarra I», en el término municipal de La Mudarra (Valladolid). Expte.: FV-2564.",resolución,AAP
