id,bulletin,description,grupo_muestreo,act_type_n1,is_relevant_gt,procedures_gt,technologies_gt
10,docm,"Anuncio de 15/01/2025, de la Dirección General de Calidad Ambiental, por el que se inicia el periodo de información pública de la solicitud de autorización ambiental integrada y del estudio de impacto ambiental del proyecto titulado: Planta de producción de hidrógeno verde de 200 MW, Proyecto Hydric a realizar en el término municipal de Puertollano (Ciudad Real), titularidad de la empresa Hydric Power, SL (expediente AAI-CR-101 y PRO-SC-24-1172).",AAI,anuncio,True,AAI,hidrógeno
11,docm,"Resolución de 11/12/2024, de la Dirección General de Calidad Ambiental, por la que se consideran no sustanciales a efectos de lo previsto en el texto refundido de la Ley de Prevención y Control Integrados de la Contaminación, aprobado por Real Decreto Legislativo 1/2016, de 16 de diciembre, las modificaciones propuestas por la empresa Holcim España, SA, en la instalación de fabricación de producción de cemento, en el término municipal de Villaluenga de la Sagra (Toledo) y se modifica la Resolución de 13/02/2019, por la que se revisa la autorización ambiental integrada otorgada para dicha instalación (expediente: AAI-TO-031).",AAI,resolución,True,AAI,
12,dog,"ANUNCIO de 19 de marzo de 2025, de la Dirección General de Calidad Ambiental y Sostenibilidad, por el que se da publicidad a la resolución por la que se deniega la solicitud de autorización ambiental integrada a Bioenergía Lugo, S.L.U. para una planta de gestión de residuos orgánicos y producción de biometano para su inyección en red, situada en el ayuntamiento de Lugo (expediente 2024-IPPC-I-25).",AAI,anuncio,True,AAI,biogás_biometano
13,boca,"Dirección General de Transición Ecológica y Lucha contra el Cambio Climático.- Resolución de 24 de enero de 2025, por la que se aprueba el Programa de Inspección Ambiental para el año 2025 de las instalaciones sujetas a autorización ambiental integrada en la Comunidad Autónoma de Canarias, según el texto refundido de la Ley de prevención y control integrados de la contaminación, aprobado por Real Decreto Legislativo 1/2016, de 16 de diciembre.",AAI,resolución,False,,
14,bopa,"Anuncio por el que se hace pública la Resolución de la Consejería de Transición Ecológica, Industria y Comercio, de otorgamiento de la autorización ambiental integrada simplificada a la instalación de “fabricación de hormigones frescos” del titular Cementos Secil, S. L. U., ubicada en polígono industrial La Curiscada (Tineo). Expte. AAIS-042/24 (AUTO/2024/7375). [Cód. 2025-02278]",AAI,anuncio,True,AAI,
15,bon,"RESOLUCIÓN 533E/2024, de 5 de diciembre, del director del Servicio de Economía Circular e Innovación, por la que se acepta parcialmente el cambio solicitado de las condiciones de funcionamiento establecidas en la autorización ambiental integrada de la instalación de deshidratación de alfalfa, cuyo titular es Navarro Aragonesa de Forrajes SA, ubicada en término municipal de Peralta / Azkoien, de forma que la instalación y el desarrollo de la actividad deberán cumplir las condiciones establecidas en el anejo de la presente resolución.",AAI,resolución,True,AAI,
16,doe,"Anuncio de 13 de enero de 2025 por el que se somete a información pública la petición de autorización administrativa previa de las instalaciones correspondientes al proyecto denominado CT Cárdeno nuevo de 630 kVA, en Fuentes de León. Expte.: 06/AT-18456/01732.",AAP,anuncio,True,AAP,línea_eléctrica
17,bor,"Anuncio de Información Pública de la solicitud de autorización administrativa previa y de construcción de instalación eléctrica, y de su declaración de utilidad pública. AT/1970904",AAP,anuncio,True,"AAP,AAC,DUP",línea_eléctrica

18,dogc,"Resolución TER/4683/2024, de 4 de diciembre, por la que se otorga a la empresa eDistribución Redes Digitales, SLU, la autorización administrativa previa y la autorización administrativa de construcción para la sustitución del transformador TR1 de 110/25 kV, de 25 MVA, por un transformador de 110/25 kV, de 30 MVA, en la SE Sant Hilari, en el término municipal de Sant Hilari Sacalm, en la provincia de Girona (exp. FUE-2024-03801430)",AAP,resolución,True,"AAP,AAC",línea_eléctrica  
19,boa,"ANUNCIO del Servicio Provincial de Zaragoza del Departamento de Presidencia, Economía y Justicia, por el que se someten a información pública la modificación de la solicitud de autorización administrativa previa y de construcción de la modificación del proyecto del parqueeólico ""Espartal Eólico 3"" de 10 MW incluido en el Proyecto de Interés General de Aragón H2 Pillar Producción de H2 renovable en la Comarca de Zaragoza.  Expediente G-Z-2021-060.",AAP,anuncio,True,"AAP,AAC","eólica,hidrógeno"
20,docm,"Notificación de 13/03/2025, de la Secretaría General, por la que se da publicidad a la resolución del recurso de alzada interpuesto sobre autorización administrativa previa y autorización administrativa de construcción de la instalación solar fotovoltaica denominada Sauce Solar, infraestructuras auxiliares y de evacuación RA 181/2023.",AAP,notificación,True,"AAP,AAC",fotovoltaica
21,bopv,"ANUNCIO de 20 de febrero de 2025, de la Delegada Territorial de Industria, Transición Energética y Sostenibilidad de Bizkaia, por el que se somete a información pública la solicitud de Autorización Administrativa Previa y Declaración de Impacto Ambiental del proyecto «Parque Eólico El Roble», en los términos municipales de Sopuerta, Zalla, Galdames y Güeñes (Bizkaia).

				
2025/01167",AAP,anuncio,True,"AAP,DIA",eólica
22,boe,"Resolución de 14 de enero de 2025, de la Dirección General de Política Energética y Minas, por la que se otorga a I-DE Redes Eléctricas Inteligentes, SAU, autorización administrativa previa y autorización administrativa de construcción de la nueva línea subterránea de media tensión 20 kV, simple circuito, desde el centro de transformación Los Veras-San Pedro, hasta el entronque aéreo-subterráneo en Camino la Raya, en los términos municipales de Pilar de la Horadada (Alicante) y San Pedro de Pinatar (Murcia).",AAP,resolución,True,"AAP,AAC",línea_eléctrica
23,boa,"RESOLUCIÓN de 14 de febrero de 2025, del Servicio Provincial de Zaragoza, relativo a la autorización administrativa previa y de construcción, del proyecto planta solar fotovoltaica ""Romerosa"" de 450 kW en el término municipal de Lécera. Expediente: G-Z-2022-192.",AAP,resolución,True,"AAP,AAC",fotovoltaica
24,borm,"Resolución de la Dirección General de Industria, Energía y Minas por la que se otorga a la empresa Sangonera Solar, S.L. la autorización administrativa previa, la autorización administrativa de construcción de la instalación eléctrica de producción denominada “Proyecto de planta solar FV “El Palmar I” de 1,2 MW (potencia instalada) y LA/SMT 20 kV evacuación”, y el reconocimiento en concreto, de la utilidad pública de la línea aérea/subterránea de alta tensión a 20 kV, de evacuación, en el término municipal de Murcia.",AAP,resolución,True,"AAP,AAC,DUP",línea_eléctrica
25,docm,"Anuncio de 16/12/2024, de la Delegación Provincial de Desarrollo Sostenible de Toledo, sobre información pública de solicitud de Nexo FV, SL, para autorización administrativa previa de proyecto de instalación solar fotovoltaica denominada Santa María Solar, situada en el término municipal de Mesegar de Tajo. Referencia: PE-722.",AAP,anuncio,True,AAP,fotovoltaica
26,docm,"Resolución de 20/02/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, de autorización administrativa previa y autorización administrativa de construcción de instalación eléctrica de alta tensión con número de expediente: E-45211122323 corresponde III.",AAP,resolución,True,"AAP,AAC",línea_eléctrica
27,dogc,"Anuncio por el que se somete a información pública la solicitud de autorización administrativa previa, autorización administrativa de construcción, autorización del proyecto de actuación específica de interés público en suelo no urbanizable y evaluación de impacto ambiental del proyecto de la planta solar fotovoltaica denominada PS Vilobí, de 3,52 MW sobre terreno en suelo no urbanizable, y su infraestructura de evacuación, en el término municipal de Vilobí d'Onyar, en la comarca de La Selva (exp. FUE-2023-03615308, ref. 02911)",AAP,anuncio,True,"AAP,AAC,DIA",fotovoltaica
28,dog,"RESOLUCIÓN de 25 de febrero de 2025, del Departamento Territorial de Lugo, por la que se concede la autorización administrativa previa y de construcción de una instalación eléctrica en el ayuntamiento de Lugo (expediente IN407A 2024/196 AT).",AAP_AAC,resolución,True,"AAP,AAC",línea_eléctrica
29,dogc,"Resolución TER/4665/2024, de 19 de noviembre, de la Dirección General de Energía, por la que se otorga a Energia Inagotable de Anser, SL, la autorización administrativa previa y de construcción del proyecto de la planta solar fotovoltaica denominada Gualter, de 25 MW de potencia instalada sobre terreno en suelo no urbanizable, y su infraestructura de evacuación, líneas soterradas a 30 kV, subestación SED Gualter  30/110kV y línea aérea de alta tensión 110 kV, en el término municipal de Artesa de Segre, en la comarca de La Noguera (exp. FUE-2021-02207760)",AAP_AAC,resolución,True,"AAP,AAC","fotovoltaica,línea_eléctrica"
30,dog,"RESOLUCIÓN de 31 de octubre de 2024, del Departamento Territorial de A Coruña, por la que se concede la autorización administrativa previa y de construcción de una instalación eléctrica en el ayuntamiento de San Sadurniño (expediente IN407A 2024/233-1).",AAP_AAC,resolución,True,"AAP,AAC",línea_eléctrica    
31,boa,"RESOLUCIÓN de 14 de noviembre de 2024, del Servicio Provincial de Zaragoza, relativo a la autorización administrativa previa y de construcción del proyecto planta solar fotovoltaica ""Torrubia"" de 500 kW en el término municipal de Muel. Expediente: G-Z-2023-157.",AAP_AAC,resolución,True,"AAP,AAC",fotovoltaica
32,dogv,"RESOLUCIÓN de 12 de marzo de 2025, del Servicio Territorial de Industria, Energía y Minas de Valencia, por la que se da por desistido el titular del expediente ATALFE/2020/39, iniciado por Epower Solar Renewable, SL, de autorización administrativa previa y de construcción y declaración de utilidad pública en concreto, correspondiendo a la central fotovoltaica «PSF Aquila MT» y su infraestructura de evacuación, con potencia nominal del inversor limitado a 3 MW, que se tiene que ubicar en el término municipal de Utiel.",AAP_AAC,resolución,True,"AAC,AAP,DUP",fotovoltaica
33,dogc,"Resolución TER/4799/2024, de 16 de diciembre, por la que se otorga a Univergy ES SPC 25, SL, la autorización administrativa previa y de construcción del proyecto de la planta solar fotovoltaica llamada La Femosa, de 875 kW sobre terreno en suelo no urbanizable, y su infraestructura de evacuación, en el término municipal de Artesa de Lleida, en la comarca de El Segrià (exp. FUE-2022-02779916)",AAP_AAC,resolución,True,"AAP,AAC",fotovoltaica
34,dog,"RESOLUCIÓN de 14 de enero de 2025, del Departamento Territorial de Ourense, por la que se concede la autorización administrativa previa y de construcción y se declara, en concreto, de utilidad pública, a los efectos de la urgente ocupación, de una instalación eléctrica en el ayuntamiento de Avión (expediente IN407A 2024/112-3).",AAP_AAC,resolución,True,"AAP,AAC,DUP",línea_eléctrica
35,boe,"Anuncio de la Delegación Territorial de Economía, Hacienda, Fondos Europeos y de Industria, Energía y Minas en Sevilla, por la que se somete a trámite de audiencia a los interesados e información pública el procedimiento de autorización administrativa previa y de construcción y declaración, en concreto, de utilidad pública del proyecto de alta tensión denominado nueva subestación Puerto Sevilla, en el término municipal de Dos Hermanas (Sevilla).",AAP_AAC,anuncio,True,"AAP,AAC,DUP",línea_eléctrica
36,boja,"Anuncio de 4 de febrero de 2025, de la Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Huelva, por el que se da publicidad a la nueva autorización ambiental unificada simplificada otorgada en esta provincia. (PP. 262/2025).",AAU,anuncio,True,AAU,
37,boja,"Resolución 17 de febrero de 2025, de la Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Cádiz, por la que se da publicidad al informe vinculante de la autorización ambiental unificada para el proyecto que se cita, en los términos municipales de Jerez de la Frontera y Sanlúcar de Barrameda, en la provincia de Cádiz.",AAU,resolución,True,AAU,
38,boja,"Resolución de 4 de marzo de 2025, de la Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Sevilla, por la que se da publicidad a la Resolución de 24 de febrero de 2025, de autorización ambiental unificada simplificada, para el proyecto que se cita, en el término municipal de Cantillana (Sevilla).",AAU,resolución,True,AAU,
39,boja,"Acuerdo de 19 de diciembre de 2024, de la Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Málaga, por el que se abre un periodo de información pública sobre el expediente de autorización ambiental unificada para el proyecto que se cita, en los términos municipales de Cártama y Pizarra.",AAU,acuerdo,True,AAU,
40,doe,"Anuncio de 31 de enero de 2025 por el que se pone a disposición del público la información relativa al procedimiento de solicitud de autorización ambiental unificada del proyecto de explotación porcina, promovido por Montemoheda, SL, en el término municipal de Guijo de Granadilla (Cáceres).",AAU,anuncio,True,AAU,
41,boja,"Acuerdo de 24 de enero de 2025, de la Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Granada, por el que se da publicidad a la resolución de autorización ambiental unificada de proyecto obras para la captación de aguas subterráneas mediante sondeo para uso domestico estacional, en el término municipal de Huéscar (Granada). (PP. 171/2025).",AAU,acuerdo,True,AAU,
42,boja,"Acuerdo de 27 de noviembre de 2024, de la Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Granada, por el que se hace pública resolución de modificación de informe vinculante por el que se otorga la autorización ambiental unificada de plantas solares fotovoltaicas e infraestructuras de evacuación en los términos municipales de Cacín, El Turro, Alhama de Granada, Chimeneas, Moraleda de Zafayona, Pinos Puente, Íllora y Atarfe (Granada). (PP. 10163/2024).",AAU,acuerdo,True,AAU,"fotovoltaica,linea_eléctrica"
43,boja,"Resolución de 10 de marzo de 2025, de la Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Sevilla, por la que se da publicidad a la resolución de autorización ambiental unificada para el proyecto que se cita, en el término municipal de El Pedroso, provincia de Sevilla. (PP. 535/2025).",AAU,resolución,True,AAU,
44,boa,"RESOLUCIÓN de 27 de enero de 2025, del Instituto Aragonés de Gestión Ambiental, por la que se formula la declaración de impacto ambiental del proyecto de la concentración parcelaria de la zona de Santed (Zaragoza), promovido por la Dirección General de Desarrollo Rural del Gobierno de Aragón. (Número de Expediente: INAGA 500201/01A/2022/07286).",DIA,resolución,True,DIA,
45,bopv,"ANUNCIO de 17 de enero de 2025, de la Delegada Territorial de Industria, Transición Energética y Sostenibilidad de Bizkaia, por el que se somete a información pública la solicitud de Autorización Administrativa Previa y Declaración de Impacto Ambiental del proyecto «Parque Eólico Iparaixe II, 21 MW, y sus infraestructuras de evacuación», en los términos municipales de Barakaldo y Valle de Trápaga-Trapagaran (Bizkaia).

				
2025/00477",DIA,anuncio,True,"AAP,DIA","eólica, línea_eléctrica"
46,bocyl,"RESOLUCIÓN de 22 de enero de 2025, de la Dirección General de Infraestructuras y Sostenibilidad Ambiental, por la que se dicta la declaración de impacto ambiental del proyecto de planta de valorización de residuos para la producción de biometano, ubicada en la parcela 99 del polígono 619, del término municipal de San Millán de los Caballeros (León), promovido por «Biorig Energy San Millán - León, S.L.». Expte.: EIAO/2024/LE/008.",DIA,resolución,True,DIA,biogás_biometano
47,bocyl,"RESOLUCIÓN de 21 de enero de 2025, de la Dirección General de Infraestructuras y Sostenibilidad Ambiental, por la que se dicta la declaración de impacto ambiental del proyecto de una planta de cogeneración de energía eléctrica y vapor de proceso a partir de biomasa, denominada «Roblum», y una planta anexa de captura de CO2, en el término municipal de La Robla (León), promovido por «Desarrollos Renovables Abies, S.L.».",DIA,resolución,True,DIA,biomasa
48,dogv,"RESOLUCIÓN de 25 de noviembre de 2024, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la que se formula la declaración de impacto ambiental del proyecto de FV Alcoy, del término municipal de Alcoy. Expediente: (3658152) 305/2024/AIA.",DIA,resolución,True,DIA,fotovoltaica
49,boa,"RESOLUCIÓN de 12 de febrero de 2025, del Instituto Aragonés de Gestión Ambiental, por la que se modifica puntualmente la de 3 de enero de 2017, en la que se formuló declaración de impacto ambiental y se otorgó la Autorización Ambiental Integrada para la ampliación de una explotación de ganado porcino de cebo hasta una capacidad de 4.160 plazas (499,20 UGM), situada en el polígono 6, parcela 117, del término municipal de Laluenga (Huesca), y promovida por Bal-Ben SC. (Número de Expediente: INAGA 500305/02/2024/09790).",DIA,resolución,True,"DIA,AAI",
50,boe,"Anuncio del Área Funcional de Industria y Energía de la Delegación del Gobierno en Madrid, por el que se somete a información pública la solicitud de Autorización Administrativa Previa y Declaración de Impacto Ambiental del proyecto de la planta fotovoltaica FV Caiba, de 200 MW de potencia instalada, y su infraestructura de evacuación, en la Comunidad de Madrid, promovido por la Sociedad Desarrollos Renovables Iberia Dzeta, S.L.U. Exp.: PFOT-1169.",DIA,anuncio,True,"AAP,DIA","fotovoltaica,línea_eléctrica"
51,dogv,"RESOLUCIÓN de 18 de febrero de 2025, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto de autorización ambiental integrada para una industria de fabricación de baterías, en el polígono 101, parcela 2 GAUSA (Parc Sagunt II), del término municipal de Sagunto. Expediente: (3675763) 15/2025/AIA.",DIA,resolución,True,"DIA,AAI",almacenamiento
52,boib,"Resolución de la directora general de Armonización Urbanística y Evaluación Ambiental por la que se formula la declaración de impacto ambiental sobre el Proyecto Básico de Reforma de vivienda en edificio existente para conversión en Agroturismo (“Torre de S’Almunia”) - Es Rafal des Porcs”, promovido por Maria del Milagro de Sarriera y Vargas-Zuñiga, TM de Santanyí) (Exp. 96A/2024)",DIA,resolución,True,DIA,
53,boca,"Viceconsejería de Transición Ecológica, Lucha contra el Cambio Climático y Energía.- Anuncio por el que se hace pública la Resolución de 11 de diciembre de 2024, que da publicidad al Acuerdo de la Comisión Autonómica de Evaluación Ambiental de 3 de diciembre de 2024, relativo a la Declaración de Impacto Ambiental del proyecto denominado “Parque Eólico El Vivero”, promovido por Ayagaures Medio Ambiente, S.L., en el término municipal de Agüimes, Gran Canaria.- Expte. 18/2024-0710134240.",DIA,anuncio,True,DIA,eólica
54,boib,"Resolución de la Directora General de Armonización Urbanística y Evaluación ambiental por la que se formula la declaración de impacto ambiental de la modificación sustancial de la AAI IPPC 02/2015 centro de recepción y pretratamiento de hidrocarburos, aceites usados y aguas aceitosas en el dique del Oeste a Palma, promovido por parte de Servmar Balear SL en la parcela 6.2.05 sector portuario San Carlos - Dique del Oeste, TM Palma (Exp. 33A/2024)",DIA,resolución,True,"DIA,AAI",petróleo
55,dogc,"Anuncio de información pública sobre la solicitud de modificación sustancial de la autorización ambiental con declaración de impacto ambiental de la actividad ganadera porcina promovida por La Cendrosa, SL, en el término municipal de Penelles (exp. FUE-2024-04049118)",DIA,anuncio,True,"DIA,AAI",
56,dog,"RESOLUCIÓN de 7 de febrero de 2025, de la Dirección General de Planificación Energética y Minas, por la que se declara la utilidad pública, en concreto, sobre la finca núm. 114 de la RBDA de la infraestructura de distribución de energía eléctrica correspondiente al incremento de un circuito en la LAT 132 kV Mondoñedo-Meira, entre el apoyo 22 y la subestación de Meira, en los términos municipales de Mondoñedo y A Pastoriza (Lugo), y que promueve Begasa (expediente 2021/109 ATE).",DUP,resolución,True,DUP,línea_eléctrica
57,boe,"Resolución TER/4581/2024, de 10 de diciembre de 2024, del Departamento de Territorio, Vivienda y Transición Ecológica, de la Dirección General de Energía, por la que se otorga a la empresa Edistribución Redes Digitales SLU, la autorización administrativa previa, la autorización administrativa de construcción y la declaración de utilidad pública para la construcción de una nueva línea aérea de alta tensión de doble circuito 110 kV ""S.E. Masdenverge"" – (""S.E. Campredó-S.E. Tortosa"") y una nueva línea aérea de alta tensión de doble circuito 110 kV ""S.E. Masdenverge"" – (""S.E. Amposta I y II""), así como el desmontaje de 144 m de línea existente y la retirada del apoyo T31 existente, en el término municipal de Masdenverge, en la comarca del Montsià (Expediente número: FUE-2024-03749133).",DUP,resolución,True,"AAP,AAC,DUP",línea_eléctrica
58,bocyl,"RESOLUCIÓN de 21 de febrero de 2025, del Servicio Territorial de Industria, Comercio y Economía de Valladolid, de autorización administrativa previa, autorización administrativa de construcción de una instalación de producción de energía eléctrica por tecnología fotovoltaica denominada «FV Velilla», y el reconocimiento de utilidad pública, en concreto, de las infraestructuras de evacuación, en el término municipal de Tordesillas (Valladolid). Expte.: FV-2596; ATCE-115.",DUP,resolución,"True","AAP,AAC,DUP","fotovoltaica,línea_eléctrica"
59,docm,"Anuncio de 03/01/2025, de la Delegación Provincial de Desarrollo Sostenible de Cuenca, sobre información pública de la solicitud de autorización administrativa previa, aprobación del proyecto de ejecución y reconocimiento en concreto de utilidad pública de la instalación eléctrica de alta tensión. Referencia: 16211-00081.",DUP,anuncio,True,"AAP,AAC,DUP",línea_eléctrica
60,boa,"ANUNCIO del Instituto Aragonés de Gestión Ambiental, por el que se somete a información pública y concurrencia competitiva el expediente de autorización administrativa de concesión de uso privativo del dominio público forestal para la ocupación temporal de terrenos del monte de utilidad pública número T001, denominado ""El Cascalejo"", de titularidad del Ayuntamiento de Albarracín (Teruel), y sito en su término municipal, motivado por la instalación de fibra óptica para poder proporcionar servicio 5G, proyecto financiado con los Fondos Europeos ""Next Generation"" como parte del Plan de Recuperación y Resiliencia de la Unión Europea y promovido por Telefónica de España, SAU. (Número de Expediente: INAGA 440101/44/2024/11113).",DUP,anuncio,False,,
61,boe,"Anuncio de la Delegación Territorial de Economía, Hacienda, Fondos Europeos y de Industria, Energía y Minas en Sevilla, por el que se somete a información pública la petición realizada por la mercantil Naturgy Vento, S.A., por la que se solicita modificación de Autorización Administrativa Previa y de Construcción así como la Declaración en Concreto de Utilidad Pública, relativa a la instalación de generación de energía eléctrica mediante tecnología eólica denominada ""PE Villanueva 2"", con una potencia instalada de 18,00 MW, y ubicada en los términos municipales de Villanueva de San Juan, Pruna, Puebla de Cazalla y Morón de la Frontera(Sevilla).",DUP,anuncio,True,"AAP,AAC,DUP",eólica
62,boca,"Viceconsejería de Planificación Territorial y Reto Demográfico.- Anuncio de 25 de febrero de 2025, por el que se somete a información pública el procedimiento de Evaluación Ambiental Estratégica Simplificada del Plan Especial de Ordenación del Suelo Urbano no consolidado UA La Rajita, término municipal de Vallehermoso, La Gomera.",IAE,anuncio,True,IAE,
63,bocyl,"ORDEN MAV/293/2025, de 24 de marzo, por la que se formula el informe ambiental estratégico de la modificación puntual n.º 1 del Plan General de Ordenación Urbana de El Espinar (Segovia). Expte.: EAES/2024/023.",IAE,orden,True,IAE,
64,bocyl,"ORDEN MAV/23/2025, de 17 de enero, por la que se formula el informe ambiental estratégico de la modificación puntual n.º 2 de las Normas Urbanísticas Municipales de Alar del Rey (Palencia). EAES/2024/066.",IAE,orden,True,IAE,
65,boja,"Resolución de 18 de marzo de 2025, de la Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Sevilla, por la que se da publicidad al informe ambiental estratégico que se cita, en el término municipal de La Rinconada (Sevilla).",IAE,resolución,True,IAE,
66,bocm,"Informe ambiental estratégico
– Resolución de 17 de febrero de 2025, de la Directora General de Transición Energética y Economía Circular de la Consejería de Medio Ambiente, Agricultura e Interior, por la que se acuerda hacer público el Informe Ambiental Estratégico de la Modificación Puntual número 1/2024 del Plan General de Ordenación Urbana de 1969, en calle Molino de la Cruz, con vuelta calle Calvario, en el término municipal de Los Molinos, promovido por el Ayuntamiento de Los Molinos. (Expediente: 26-UB2-00073.2/2024, SIA 24/073)",IAE,resolución,True,IAE,
67,bocyl,"ORDEN MAV/1586/2024, de 27 de diciembre, por la que se formula el informe ambiental estratégico de la modificación puntual n.º 35 de las Normas Subsidiarias de Planeamiento Municipal de El Royo (Soria). Expte.: EAES/2024/094.",IAE,orden,True,IAE,
68,docm,"Resolución de 13/02/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, por la que se formula el informe de impacto ambiental del proyecto: Concesión de aguas para riego de 177,17 ha y abastecimiento, en la finca La Nava y Santo Tomé, en el término municipal de Los Yébenes y Marjaliza (Toledo) (expediente PRO-TO-21-2972), cuya promotora es Agronava 85 SL.",IIA,resolución,True,IIA,
69,dogv,"RESOLUCIÓN de 17 de febrero de 2025, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la que se formula informe de impacto ambiental del proyecto de sondeo para captación de aguas subterráneas, parcela 11, polígono 1, del término municipal de Chulilla. Expediente: (3633273) 311/2024/AIA.",IIA,resolución,True,IIA,
70,dogv,"RESOLUCIÓN de 9 de agosto de 2024, de la DireccióN General de Urbanismo, Paisaje y Evaluación Ambiental, por la cual se formula informe de impacto ambiental del proyecto de reprofundización de sondeo para investigación de aguas subterráneas en la parcela 713 del polígono 1, partida Cumbre, al término municipal de Aras de los Olmos (Valencia). Expediente: (3525678) 164/2024/AIA.",IIA,resolución,True,IIA,
