id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador,is_relevant_pred,act_type_pred,categories_pred,subcategories_pred,confidence,reasoning,duration_s,error
10,boja,"Resolución de 24 de febrero de 2025, de la Dirección Gerencia del Servicio Andaluz de Salud, por la que se acuerda publicar la propuesta de estructura de costes y fórmula de revisión de las tarifas para la explotación de los aparcamientos que formarán parte del contrato mixto de contratación de las obras del Nuevo Hospital de Málaga y concesión de obras de los aparcamientos.",CONT_CON,True,CONT_CON,tipo_obras,Estructura de costes de contrato mixto obras y concesion de obras,True,resolución,"[""CONT_CON""]","[""tipo_obras""]",0.98,"El texto menciona ""concesión de obras"" en el objeto del contrato mixto, lo que activa la categoría CONT_CON y subcategoría tipo_obras. La frase clave es ""concesión de obras de los aparcamientos"".",65.753,
11,boe,"Anuncio de licitación de: Jefatura de Asuntos Económicos del Mando de Personal. Objeto: Concesión de servicio de campamentos estivales de ocio, tiempo libre y deportes en el CDSCM ""La Dehesa"" de Madrid. Expediente: 2024/ETSAE0905/00004280E.",CONT_CON,True,"CONT_LIC, CONT_CON",tipo_servicios,Licitacion de concesion de servicio campamentos,True,anuncio,"[""CONT_LIC"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"El texto es un ""anuncio de licitación"" (señal lexica clave) cuyo objeto es explícitamente una ""Concesión de servicio"", lo que indica la naturaleza híbrida del acto (fase de licitación y tipo contractual de concesión). La prestación descrita son ""campamentos estivales... y deportes"", clasificándose como servicios.",68.387,
12,boe,"Anuncio de licitación de: Subsecretaría de Política Territorial y Memoria Democrática. Objeto: Concesión de servicios para la instalación, explotación y mantenimiento de máquinas vending en el Ministerio de Política Territorial y Memoria Democrática . Expediente: 03/2025.",CONT_CON,True,"CONT_LIC, CONT_CON",tipo_servicios,Licitacion de concesion de servicios vending,True,anuncio,"[""CONT_LIC"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"El texto indica claramente un ""Anuncio de licitación"" (señal CONT_LIC) cuyo objeto es una ""Concesión de servicios"" (señal CONT_CON). El servicio a prestar es la instalación, explotación y mantenimiento de máquinas vending, lo que se clasifica como ""tipo_servicios"".",63.028,
13,boe,Anuncio de formalización de contratos de: Dirección General de Protección Civil y Emergencias. Objeto: Concesión del servicio de cafetería y comedor en la Escuela Nacional de Protección Civil con fomento de la contratación social laboral responsable. Expediente: 24A030.,CONT_CON,True,"CONT_FOR, CONT_CON",tipo_servicios,Formalizacion de concesion de servicio cafeteria,True,anuncio,"[""CONT_FOR"", ""CONT_CON""]","[""tipo_servicios""]",0.95,"La descripción contiene explícitamente ""Anuncio de formalización de contratos"" y el objeto es una ""Concesión del servicio"", lo que activa las categorías N2 CONT_FOR (formalización) y CONT_CON (concesión). El objeto específico es un ""servicio de cafetería y comedor"", clasificando la prestación como tipo_servicios.",64.381,
14,boe,Anuncio de licitación de: Intendente de San Fernando. Objeto: Contrato de concesión de servicio de las escuelas de baile para el CDSCA Oficiales. Expediente: 2025/AR43U/00000265E.,CONT_CON,True,"CONT_LIC, CONT_CON",tipo_servicios,Licitacion de contrato de concesion escuelas de baile,True,anuncio,"[""CONT_LIC"", ""CONT_CON""]","[""tipo_servicios""]",0.95,"El texto es un ""Anuncio de licitación"" (señal CONT_LIC) cuyo objeto es explícitamente un ""Contrato de concesión de servicio de las escuelas de baile"" (señales para CONT_CON y subcategoría tipo_servicios). La combinación indica que es la publicación inicial convocando una licitación por adjudicación a través de una fórmula de concesión.",65.505,
15,bocm,"Adjudicación contrato
– Anuncio de 6 de febrero de 2025, de adjudicación del contrato titulado “Acuerdo marco para el suministro de material hardware/software informático de puesto cliente” (Expediente 6012400340)",CONT_ADJ,True,CONT_ADJ,tipo_suministros,Adjudicacion AM suministro hardware,True,anuncio,"[""CONT_ADJ""]","[""tipo_suministros""]",0.98,"El texto contiene explícitamente la frase ""Anuncio de... adjudicación del contrato"", lo que confirma el tipo de acto como CONT_ADJ y act_type como anuncio. El objeto especificado es ""suministro de material hardware/software informático"", lo cual se clasifica inequívocamente como tipo_suministros.",62.682,
16,bocm,"Convocatoria contrato
– Resolución de 4 de marzo de 2025, de la Secretaría General Técnica de la Consejería de Economía, Hacienda y Empleo, por la que se dispone la publicación en los boletines oficiales y en el “perfil del contratante” en Internet, de la licitación para la adjudicación del contrato titulado Programa de formación online en competencias digitales dirigidas al sector turístico en el marco del Componente 19 “Plan Nacional de competencias digitales (digital skills)”, con cargo al Plan de Recuperación, Transformación y Resiliencia del Gobierno de España, financiado por la Unión Europea NextGeneration EU",CONT_ADJ,True,CONT_LIC,tipo_servicios,Publicacion de licitacion para adjudicar: fase licitacion. Formacion online,True,resolución,"[""CONT_LIC""]","[""tipo_servicios""]",0.95,"El texto contiene explícitamente ""Convocatoria contrato"" y ""publicación... de la licitación para la adjudicación del contrato"", lo que activa la categoría CONT_LIC. El objeto del contrato es ""Programa de formación online en competencias digitales"", una prestación educativa que se clasifica como tipo_servicios.",64.532,
17,bocm,"Convocatoria contrato
– Resolución de 8 de enero de 2025, de la Secretaría General Técnica de la Consejería de Cultura, Turismo y Deporte, por la que se dispone la publicación de la licitación en los boletines oficiales y en el “perfil del contratante”, en Internet, de la adjudicación del contrato titulado “Gestión integral de los Teatros del Canal de Madrid, incluido el Centro Coreográfico Canal, y del Teatro Auditorio de San Lorenzo de El Escorial”",CONT_ADJ,True,CONT_LIC,tipo_servicios,Publicacion de licitacion: fase licitacion. Gestion teatros,True,convocatoria,"[""CONT_LIC""]","[""tipo_servicios""]",0.95,"La descripción contiene ""Convocatoria contrato"" y ""publicación de la licitación"", lo que identifica claramente un proceso de licitación (CONT_LIC). El objeto es ""Gestión integral..."", lo cual implica prestación de servicios (tipo_servicios).",61.232,
18,boja,"Resolución de 24 de marzo de 2025, del Rector de la Universidad de Granada, por la que se añade una plaza a las convocadas por Resolución de 19 de marzo de 2025, del Rector de la Universidad de Granada, por la que se convoca concurso público para la adjudicación de contratos de Profesorado Permanente Laboral.",CONT_ADJ,False,,,Adjudicacion de contratos de profesorado: RRHH universitario,False,resolución,[],[],0.98,"El texto describe la ""adjudicación de contratos de Profesorado Permanente Laboral"" (concurso público para plazas), que corresponde a provisión de personal y no a contratación de obras, servicios o suministros bajo el régimen LCSP. Por tanto, is_relevant es False según las reglas críticas sobre adjudicaciones de puestos de trabajo.",62.255,
19,bocm,"Convocatoria contrato
– Resolución de 12 de febrero de 2025, de la Secretaría General Técnica de la Consejería de Economía, Hacienda y Empleo, por la que se dispone la publicación en los boletines oficiales y en el “perfil del contratante” en Internet de la licitación para la adjudicación del contrato titulado prevención y control de legionelosis en dependencias adscritas a la Consejería de Economía, Hacienda y Empleo de la Comunidad de Madrid",CONT_ADJ,True,CONT_LIC,tipo_servicios,Licitacion para adjudicacion contrato legionelosis,True,información_pública,"[""CONT_LIC""]","[""tipo_servicios""]",0.95,"El texto describe una ""Convocatoria contrato"" y menciona explícitamente ""licitación para la adjudicación del contrato titulado prevención y control de legionelosis"". La frase ""prevención y control de legionelosis"" indica que el objeto es un servicio, por lo tanto, se asigna la subcategoría tipo_servicios.",66.459,
20,boja,"Resolución de 7 de marzo de 2025, del Rector de la Universidad de Granada, por la que se convoca Concurso Público para la adjudicación de contratos de Profesores Ayudantes Doctores para el curso 2024/2025 en el campus de Granada.",CONT_ADJ,False,,,Concurso publico contratos Profesores Ayudantes Doctores: RRHH,False,resolución,[],[],0.98,"La publicación se refiere a un ""Concurso Público para la adjudicación de contratos de Profesores Ayudantes Doctores"", lo cual implica provisión y contratación de personal docente, cayendo en la exclusión por ser una plaza o puesto de trabajo (RRHH), no un acto contractual de la LCSP.",58.604,
21,bocm,"Adjudicación contrato
– Anuncio de 26 de diciembre de 2024, de adjudicación del contrato titulado “Suministro de bandajes para el mantenimiento de ruedas elásticas de los vehículos de material móvil de Metro de Madrid” (Expediente 6012400321)",CONT_ADJ,True,CONT_ADJ,tipo_suministros,Adjudicacion contrato suministro bandajes,True,anuncio,"[""CONT_ADJ""]","[""tipo_suministros""]",0.98,"El texto menciona explícitamente ""adjudicación del contrato"", lo que justifica la categoría CONT_ADJ. El objeto descrito es el ""Suministro de bandajes..."", lo que identifica claramente el tipo de prestación como suministros (tipo_suministros).",59.835,
22,boja,"Resolución de 8 de enero de 2025, de la Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía, S.A., por la que se publica la adjudicación de contratos de publicidad institucional, correspondientes al tercer cuatrimestre del año 2024.",CONT_ADJ,True,CONT_ADJ,tipo_servicios,Adjudicacion contratos publicidad institucional,True,resolución,"[""CONT_ADJ""]","[""tipo_servicios""]",0.95,"El texto menciona explícitamente ""se publica la adjudicación de contratos"", lo que clasifica el acto como CONT_ADJ (adjudicación). El objeto del contrato es ""contratos de publicidad institucional"", lo cual es claramente un servicio, por lo tanto se asigna la subcategoría tipo_servicios. La confianza es alta debido a la claridad de los términos ""adjudicación"" y el objeto específico.",66.92,
23,boja,"Resolución de 16 de enero de 2025, de la Secretaría General Técnica, por la que se hace pública la adjudicación de contratos relativos a publicidad institucional y la concesión de ayudas, subvenciones y convenios en materia de actividad publicitaria, correspondiente al tercer cuatrimestre del año 2024.",CONT_ADJ,True,CONT_ADJ,tipo_servicios,Adjudicacion contratos publicidad. Menciona tambien ayudas y convenios,False,resolución,[],[],0.95,"La descripción menciona ""concesión de ayudas, subvenciones y convenios"", que según las reglas críticas corresponden a subvenciones o convenios sin acto contractual relevante para contratación pública (LCSP), por lo tanto is_relevant=False.",55.471,
24,boja,"Anuncio de 24 de enero de 2025, de la Comunidad de Regantes Llanos de Dalías, de adjudicación del contrato de obras del proyecto que se cita. (PP. 168/2025).",CONT_ADJ,True,CONT_ADJ,tipo_obras,Adjudicacion contrato de obras por comunidad de regantes,True,anuncio,"[""CONT_ADJ""]","[""tipo_obras""]",0.95,"El texto indica ""anuncio de... adjudicación del contrato de obras"", lo cual corresponde claramente a la categoría CONT_ADJ. La mención específica de ""contrato de obras"" permite inferir la subcategoría tipo_obras con alta confianza.",58.496,
25,boja,"Resolución de 24 de enero de 2025, de la Secretaría General Técnica, por la que se hace pública la adjudicación de contratos relativos a publicidad institucional y la concesión de ayudas, subvenciones y convenios en materia de actividad publicitaria, correspondiente al 3.er cuatrimestre del año 2024.",CONT_ADJ,True,CONT_ADJ,tipo_servicios,Adjudicacion contratos publicidad institucional,True,resolución,"[""CONT_ADJ""]",[],0.85,"La publicación se refiere a una ""Resolución"" que hace pública la ""adjudicación de contratos"". El texto cita explícitamente ""adjudicación de contratos relativos a publicidad institucional"", lo cual confirma la categoría CONT_ADJ. Aunque menciona concesiones de ayudas y subvenciones, estas no califican como contratación pública relevante bajo las reglas definidas (las subvenciones son is_relevant=False).",65.494,
26,bocm,"Adjudicación contrato
– Anuncio de 19 de febrero de 2025, de adjudicación del contrato titulado “Servicio de revisión y reparación de balonas de suspensión secundaria de las series 6000, 8000 y 3000”. (Expediente 6012400218)",CONT_ADJ,True,CONT_ADJ,tipo_servicios,Adjudicacion contrato servicio reparacion,True,anuncio,"[""CONT_ADJ""]","[""tipo_servicios""]",0.95,"El texto menciona ""Anuncio de... adjudicación del contrato"" y el objeto es ""Servicio de revisión y reparación"", lo que indica claramente una fase de adjudicación (CONT_ADJ) referida a un servicio de mantenimiento/reparación (tipo_servicios). La confianza es alta por la claridad léxica.",63.244,
27,bocm,"Adjudicación contrato
– Anuncio de 21 de marzo de 2025, de adjudicación del contrato titulado “Acuerdo marco para el suministro de repuestos de comunicaciones para el mantenimiento de las instalaciones y del material móvil de Metro de Madrid”. (Expediente 6012400378)",CONT_ADJ,True,CONT_ADJ,tipo_suministros,Adjudicacion AM suministro repuestos,True,anuncio,"[""CONT_ADJ""]","[""tipo_suministros""]",0.95,"El texto indica explícitamente ""Adjudicación contrato"" y cita el título ""Acuerdo marco para el suministro de repuestos"", lo que confirma que se trata de una adjudicación (CONT_ADJ) y del suministro de bienes (tipo_suministros). El fragmento clave es: ""Anuncio... de adjudicación del contrato titulado '...suministro de repuestos...'"".",64.998,
28,bocm,"Adjudicación contrato
– Anuncio de 13 de febrero de 2025, de adjudicación del contrato titulado “Servicio de mantenimiento del sistema de atención telefónica avanzada del Centro de Operaciones de Mantenimiento y Monitorización de Instalaciones y Telecomunicaciones (COMMIT)”. (Expediente 6012400400)",CONT_ADJ,True,CONT_ADJ,tipo_servicios,Adjudicacion contrato mantenimiento,True,anuncio,"[""CONT_ADJ""]","[""tipo_servicios""]",0.98,"El texto dice explícitamente ""Adjudicación contrato"" y especifica el título como ""Servicio de mantenimiento..."", lo que confirma la adjudicación (CONT_ADJ) de un contrato de servicios (tipo_servicios). El fragmento clave es ""Anuncio de 13 de febrero de 2025, de adjudicación del contrato titulado..."".",63.631,
29,bocm,"Adjudicación contrato
– Anuncio de 28 de enero de 2025, de adjudicación del contrato titulado “Acuerdo marco para servicios de asistencia a la redacción de proyectos de ingeniería civil y arquitectura y/o elaboración de informes técnicos asociados a las actividades del servicio de infraestructuras y estaciones de Metro de Madrid” (expediente 6012400310)",CONT_ADJ,True,CONT_ADJ,tipo_servicios,Adjudicacion AM servicios redaccion proyectos,True,anuncio,"[""CONT_ADJ""]","[""tipo_servicios""]",0.98,"El texto dice explícitamente ""Anuncio de... adjudicación del contrato"", lo que encaja con la categoría CONT_ADJ. El objeto es la asistencia a la redacción de proyectos y elaboración de informes técnicos, lo que define el tipo de prestación como servicios (tipo_servicios).",62.58,
30,bon,Encomienda de gestión para recuperar la infraestructura-trazado de la Vía Verde del Bidasoa en el tramo Doneztebe / Santesteban-Elizondo y disponer de dicho espacio como vial público,CONT_ENC,True,CONT_ENC,tipo_obras,Encomienda de gestion recuperacion via verde,True,otros,"[""CONT_ENC""]",[],0.95,"El texto menciona explícitamente ""Encomienda de gestión"", que corresponde a la categoría N2 CONT_ENC. No se puede inferir la subcategoría N3 ya que el objeto del contrato (la Vía Verde) es un espacio público/infraestructura y no especifica una prestación concreta de tipo obras, servicios o suministros en este fragmento.",121.561,
31,dogv,ANUNCIO de la encomienda de gestión del Ajuntament de Teulada de autoliquidaciones en Suma Gestión Tributaria. Diputación de Alicante.,CONT_ENC,True,CONT_ENC,tipo_servicios,Encomienda de gestion tributaria a Suma,True,anuncio,"[""CONT_ENC""]",[],0.95,"El texto menciona explícitamente ""encomienda de gestión"" y ""encargo a medio propio"", lo que corresponde a la categoría CONT_ENC. No se especifica el tipo de prestación en el objeto, por lo que subcategories queda vacía.",56.263,
32,dogv,"RESOLUCIÓN de 21 de febrero de 2025, de la Dirección General de Relaciones con Les Corts, por la que se publica el convenio de encomienda de gestión por el que la Agencia Valenciana de Seguridad y Respuesta a las Emergencias encarga al Ayuntamiento de Sagunto la actividad de instrucción policial en los cursos de acceso a las distintas escalas y categorías de policía local organizados por el Instituto Valenciano de Seguridad Pública y Emergencias (IVASPE).",CONT_ENC,True,CONT_ENC,tipo_servicios,Convenio encomienda instruccion policial,True,resolución,"[""CONT_ENC""]",[],0.95,"El texto es una resolución que publica un ""convenio de encomienda de gestión"", lo cual coincide directamente con la categoría CONT_ENC (encargo a medio propio / encomienda). El objeto específico es instrucción policial, pero como no se especifica si implica obras, servicios o suministros de forma clara para categorizarlo en N3, dejamos subcategories vacía.",65.935,
33,bopa,"Resolución de 13 de marzo de 2025, de la Consejería de Presidencia, Reto Demográfico, Igualdad y Turismo, por la que se ordena la publicación del Convenio de colaboración entre la Administración del Principado de Asturias, a través de la Consejería de Derechos Sociales y Bienestar, y el Ayuntamiento de Llanera por el que se establece el marco de cooperación para el desarrollo de las prestaciones sociales del Sistema Público de Servicios Sociales y la encomienda de gestión de la prestación del servicio de ayuda a domicilio y teleasistencia a personas en situación de dependencia del Sistema para la Autonomía y Atención a la Dependencia durante los ejercicios 2024 a 2027. [Cód. 2025-02293]",CONT_ENC,True,CONT_ENC,tipo_servicios,Convenio con encomienda de gestion ayuda a domicilio,False,resolución,[],[],0.95,"El texto describe un ""Convenio de colaboración"" y una ""encomienda de gestión"", pero la publicación es una resolución que ordena su publicación. La categoría N2 CONT_ENC (encargo a medio propio) no se aplica porque el acto principal es un convenio de cooperación interadministrativa, no un encargo formal bajo LCSP para adquisición de servicios en sentido de contratación pública tradicional.",135.71,
34,bopa,"Resolución de 13 de marzo de 2025, de la Consejería de Presidencia, Reto Demográfico, Igualdad y Turismo, por la que se ordena la publicación del Convenio de colaboración entre la Administración del Principado de Asturias, a través de la Consejería de Derechos Sociales y Bienestar, y el Ayuntamiento de Tineo por el que se establece el marco de cooperación para el desarrollo de las prestaciones sociales del Sistema Público de Servicios Sociales y la encomienda de gestión de la prestación del servicio de ayuda a domicilio y teleasistencia a personas en situación de dependencia del Sistema para la Autonomía y Atención a la Dependencia durante los ejercicios 2024 a 2027. [Cód. 2025-02320]",CONT_ENC,True,CONT_ENC,tipo_servicios,Convenio con encomienda de gestion ayuda a domicilio,False,resolución,[],[],0.95,"La publicación es una resolución que ordena la publicación de un ""Convenio de colaboración"", lo cual encaja con la regla de convenios interadministrativos sin acto contractual. Además, menciona explícitamente la ""encomienda de gestión"" pero al ser parte de un convenio de colaboración y no el objeto principal de una adjudicación contractual propia del dominio LCSP (se trata de cooperación administrativa), se clasifica como no relevante para contratación pública según la regla 2 del prompt sobre convenios. La frase clave que descarta es ""Convenio de colaboración"" y ""ordenar la publicación del Convenio"".",64.521,
35,boe,"Resolución de 9 de enero de 2025, de la Secretaría General Técnica, por la que se publica el Convenio de encomienda de gestión entre la Dirección General de la Guardia Civil y la Comunidad de Castilla y León, para la vigilancia y protección de los edificios e instalaciones del complejo donde se ubica la sede de la Presidencia de la Junta de Castilla y León.",CONT_ENC,True,CONT_ENC,tipo_servicios,Encomienda de gestion vigilancia edificios,True,resolución,"[""CONT_ENC""]","[""tipo_servicios""]",0.95,"El texto menciona ""Convenio de encomienda de gestión"" entre entidades públicas para la ""vigilancia y protección"", lo que confirma una encomienda de gestión (CONT_ENC) y un objeto de tipo servicios. El fragmento clave es: ""Convenio de encomienda de gestión... para la vigilancia y protección"".",50.719,
36,dogv,"RESOLUCIÓN de 16 de enero de 2025, de la Dirección General de Relaciones con Les Corts, por la que se publica el convenio de encomienda de gestión por el que la Agencia Valenciana de Seguridad y Respuesta a las Emergencias encarga al Ayuntamiento de Elche la actividad de instrucción policial en los cursos de acceso a las distintas escalas y categorías de policía local organizados por el Instituto Valenciano de Seguridad Pública y Emergencias (IVASPE).",CONT_ENC,True,CONT_ENC,tipo_servicios,Convenio encomienda instruccion policial,True,resolución,"[""CONT_ENC""]",[],0.98,"La publicación describe un ""convenio de encomienda de gestión"" donde la Agencia Valenciana encarga una actividad al Ayuntamiento, lo que corresponde a la categoría CONT_ENC. No se especifica el tipo de prestación (obra, servicio o suministro) en la descripción proporcionada.",49.764,
37,bon,Encomienda de gestión para recuperar la infraestructura-trazado de la Vía Verde del Bidasoa en el tramo Doneztebe / Santesteban-Elizondo y disponer de dicho espacio como vial público,CONT_ENC,True,CONT_ENC,tipo_obras,Encomienda de gestion via verde. Duplicado del id 30,True,otros,"[""CONT_ENC""]",[],0.95,"El texto menciona explícitamente ""Encomienda de gestión"", lo que activa la categoría CONT_ENC. El objeto se refiere a recuperar una infraestructura y disponer el espacio como vial, pero sin verbo de ejecución directa (""suministro"", ""construcción""), por lo que no se puede inferir una subcategoría N3 con claridad, dejando la lista vacía.",59.299,
38,bopa,"Resolución de 13 de marzo de 2025, de la Consejería de Presidencia, Reto Demográfico, Igualdad y Turismo, por la que se ordena la publicación del Convenio de colaboración entre la Administración del Principado de Asturias, a través de la Consejería de Derechos Sociales y Bienestar y el Ayuntamiento de San Tirso de Abres por el que se establece el marco de cooperación para el desarrollo de las prestaciones sociales del Sistema Público de Servicios Sociales y la encomienda de gestión de la prestación del servicio de ayuda a domicilio y teleasistencia a personas en situación de dependencia del Sistema para la Autonomía y Atención a la Dependencia durante los ejercicios 2024 a 2027. [Cód. 2025-02238]",CONT_ENC,True,CONT_ENC,tipo_servicios,Convenio con encomienda de gestion ayuda a domicilio,False,resolución,[],[],0.95,"El texto es una ""Resolución"" por la que se ordena la publicación de un ""Convenio de colaboración"", lo cual según las reglas críticas (punto 2) no cuenta como contratación pública. Además, aunque menciona ""encomienda de gestión"", el contexto indica que es parte del convenio de colaboración entre administraciones y establece un marco de cooperación, sin tratar la formalización o asignación de un contrato público específico al margen de ese acuerdo general.",66.761,
39,bopv,"RESOLUCIÓN 22/2025, de 25 de febrero, del Director de la Secretaría del Gobierno y de Relaciones con el Parlamento, por la que se dispone la publicación del acuerdo por el que se autoriza la suscripción de la prórroga, para el año 2025, del Acuerdo de encomienda de gestión suscrito con el Instituto de Alfabetización y Reeuskaldunización de Adultos, HABE, para la enseñanza del euskera a alumnos presos en centros penitenciarios de la Comunidad Autónoma del País Vasco.

				
2025/01015",CONT_ENC,True,CONT_ENC,tipo_servicios,Prorroga de encomienda de gestion: hereda CONT_ENC. Euskera presos,True,resolución,"[""CONT_ENC""]",[],0.95,"Es una ""RESOLUCIÓN"" sobre la publicación de un acuerdo por el que se autoriza la suscripción de una prórroga de un Acuerdo de encomienda de gestión (señales: ""prórroga... del Acuerdo de encomienda de gestión""). Por regla, la prórroga hereda la etiqueta de acto original (CONT_ENC). El objeto es servicios educativos, pero como no se nombra explícitamente en el texto para inferir N3, lista vacía.",68.632,
